merchant_id,merchant_name,category,tier,city,onboarding_date,state
70,"Sen, Dey and Sami",Food & Dining,Micro,Bengaluru,2024-09-28,Karnataka
71,Mallick Group,Electronics,Enterprise,Pune,2024-12-19,Maharashtra
72,Borra Group,Grocery,Micro,Pune,2025-05-05,Maharashtra
73,"Chaudhari, Bedi and Zachariah",Travel & Transport,Micro,Kolkata,2024-11-04,West Bengal
74,Chander and Sons,Food & Dining,SME,Mumbai,2024-12-11,Maharashtra
75,Ray Group,Grocery,SME,Kolkata,2024-04-23,West Bengal
76,Kala-Rattan,Fashion & Apparel,Enterprise,Delhi,2024-04-15,Delhi
77,Gala Group,Grocery,Micro,Mumbai,2025-05-23,Maharashtra
78,Ramakrishnan LLC,Pharmacy,Micro,Pune,2024-09-15,Maharashtra
79,Mangal-Sampath,Fuel,Micro,Kolkata,2024-12-30,West Bengal
80,"Sur, Dubey and Gupta",Food & Dining,Micro,Jaipur,2025-10-29,Rajasthan
81,Kalla-Bhardwaj,Grocery,Micro,Bengaluru,2024-03-16,Karnataka
82,"Bhat, Murthy and Bhandari",Food & Dining,Micro,Chandigarh,2024-05-05,Punjab
83,Sood PLC,Fuel,SME,Mumbai,2024-12-15,Maharashtra
84,"Dugar, Bhandari and Trivedi",Food & Dining,Micro,Coimbatore,2024-08-13,Tamil Nadu
85,Grewal Inc,Grocery,SME,Lucknow,2024-05-21,Uttar Pradesh
86,"Bir, Keer and Raval",Entertainment,Enterprise,Hyderabad,2024-12-16,Telangana
87,Koshy PLC,Utilities/Bill Pay,Micro,Bhopal,2024-04-17,Madhya Pradesh
88,"Baral, Bumb and Saini",Fuel,SME,Kolkata,2024-05-14,West Bengal
89,"Virk, Mutti and Lal",Financial Services,Micro,Lucknow,2025-05-27,Uttar Pradesh
90,Murthy and Sons,Utilities/Bill Pay,Micro,Mumbai,2025-01-04,Maharashtra
91,Randhawa-Deep,Utilities/Bill Pay,SME,Hyderabad,2025-11-15,Telangana
92,"Mital, Shankar and Mutti",Financial Services,Micro,Bengaluru,2024-02-22,Karnataka
93,Andra Group,Pharmacy,SME,Kolkata,2024-07-30,West Bengal
94,"Chaudhry, Borah and Yogi",Grocery,Micro,Surat,2025-04-20,Gujarat
95,Toor LLC,Fuel,SME,Delhi,2025-08-15,Delhi
96,Palla Inc,Grocery,Micro,Surat,2025-09-09,Gujarat
97,Pingle LLC,Utilities/Bill Pay,Micro,Kolkata,2025-06-29,West Bengal
98,Sarma PLC,Food & Dining,SME,Jaipur,2025-10-17,Rajasthan
99,"Mittal, Wadhwa and Anand",Entertainment,Micro,Hyderabad,2024-10-01,Telangana
100,"Mistry, Chawla and Desai",Fuel,SME,Delhi,2024-06-14,Delhi
101,D’Alia-Chhabra,Fuel,Micro,Pune,2025-10-30,Maharashtra
102,"Dugal, Magar and Manda",Grocery,Micro,Bengaluru,2025-04-23,Karnataka
103,"Kade, Oza and Jani",Fuel,Enterprise,Pune,2025-02-25,Maharashtra
104,"Lalla, Tiwari and Suresh",Utilities/Bill Pay,SME,Ahmedabad,2024-01-10,Gujarat
105,Behl-Chanda,Entertainment,Micro,Delhi,2024-06-18,Delhi
106,"Sampath, Malhotra and Basu",Food & Dining,Micro,Guwahati,2025-04-15,Assam
107,Nath and Sons,Kirana/Local Store,Micro,Bengaluru,2024-11-24,Karnataka
108,"Lala, Edwin and Sathe",Utilities/Bill Pay,Micro,Nagpur,2025-07-15,Maharashtra
109,"Sane, Andra and Choudhury",Food & Dining,Micro,Pune,2024-09-30,Maharashtra
110,Dixit PLC,Utilities/Bill Pay,SME,Ahmedabad,2024-12-19,Gujarat
111,Pingle PLC,Home Services,Micro,Chennai,2024-06-28,Tamil Nadu
112,"Divan, Sani and Datta",Kirana/Local Store,SME,Surat,2025-06-21,Gujarat
113,Morar LLC,Travel & Transport,Enterprise,Delhi,2024-07-07,Delhi
114,Parmar and Sons,Education,SME,Kochi,2024-06-07,Kerala
115,"Krish, Chauhan and Pandya",Grocery,Micro,Hyderabad,2025-10-13,Telangana
116,"Ray, Dubey and Khalsa",Travel & Transport,SME,Pune,2024-08-02,Maharashtra
117,Goel Group,Food & Dining,SME,Jaipur,2025-02-11,Rajasthan
118,Gola Ltd,Food & Dining,Micro,Delhi,2025-09-18,Delhi
119,Sabharwal-Kothari,Utilities/Bill Pay,SME,Patna,2024-01-01,Bihar
120,Dutta-Chokshi,Pharmacy,Micro,Ranchi,2024-02-20,Jharkhand
121,Barad-Singhal,Utilities/Bill Pay,Enterprise,Delhi,2025-02-14,Delhi
122,Iyengar Group,Financial Services,Enterprise,Hyderabad,2025-05-25,Telangana
123,Mody-Kari,Utilities/Bill Pay,Micro,Nagpur,2025-10-21,Maharashtra
124,Bajwa Ltd,Travel & Transport,SME,Kochi,2025-07-12,Kerala
125,Rastogi LLC,Kirana/Local Store,SME,Surat,2024-06-22,Gujarat
126,Boase-Mallick,Financial Services,Micro,Bengaluru,2024-10-02,Karnataka
127,Upadhyay-Ratta,Pharmacy,Micro,Ahmedabad,2025-01-28,Gujarat
128,"Yadav, Narula and Bala",Home Services,SME,Ahmedabad,2025-01-10,Gujarat
129,Lal and Sons,Entertainment,SME,Bhopal,2025-10-13,Madhya Pradesh
130,"Lanka, Barad and Chopra",Grocery,SME,Lucknow,2025-04-17,Uttar Pradesh
131,"Saraf, Pai and Murthy",Home Services,Micro,Patna,2024-10-23,Bihar
132,Vaidya-D’Alia,Grocery,Enterprise,Surat,2024-03-17,Gujarat
133,Gupta-Kumar,Grocery,SME,Jaipur,2024-06-28,Rajasthan
134,Sarin Inc,Travel & Transport,SME,Hyderabad,2025-06-20,Telangana
135,"Yohannan, Hegde and Patla",Pharmacy,Enterprise,Delhi,2024-07-20,Delhi
136,Boase-Narayanan,Home Services,Enterprise,Delhi,2024-11-18,Delhi
137,"Murthy, Dash and Mital",Utilities/Bill Pay,Micro,Mumbai,2024-08-16,Maharashtra
138,"More, Rege and Narain",Fuel,Micro,Delhi,2025-08-18,Delhi
139,Merchant-Datta,Grocery,SME,Bengaluru,2024-02-08,Karnataka
140,Salvi Ltd,Food & Dining,SME,Kochi,2024-08-18,Kerala
141,Ghosh-Mitra,Food & Dining,Micro,Bengaluru,2024-09-09,Karnataka
142,Acharya-Modi,Home Services,Micro,Delhi,2024-07-15,Delhi
143,Kade-Sani,Travel & Transport,SME,Lucknow,2025-03-06,Uttar Pradesh
144,"Nagy, Shroff and Sathe",Education,SME,Ahmedabad,2025-06-11,Gujarat
145,Kala-Vaidya,Utilities/Bill Pay,SME,Kochi,2024-10-29,Kerala
146,Gara-Chad,Travel & Transport,SME,Chennai,2025-05-16,Tamil Nadu
147,Varma-Nayak,Kirana/Local Store,SME,Kolkata,2025-08-08,West Bengal
148,Keer Ltd,Utilities/Bill Pay,Micro,Delhi,2025-06-17,Delhi
149,Kar-Issac,Grocery,Micro,Bhopal,2025-11-05,Madhya Pradesh
150,Bakshi Inc,Kirana/Local Store,Micro,Hyderabad,2024-08-20,Telangana
151,Soman PLC,Electronics,Micro,Kolkata,2024-09-16,West Bengal
152,Shah Group,Fuel,Micro,Patna,2025-12-05,Bihar
153,"Hayer, Rajagopalan and Talwar",Food & Dining,SME,Chennai,2025-01-18,Tamil Nadu
154,Kohli-Divan,Entertainment,Micro,Nagpur,2024-08-12,Maharashtra
155,"Ahluwalia, Chhabra and Sandal",Financial Services,SME,Kolkata,2024-11-27,West Bengal
156,Goda Ltd,Pharmacy,Micro,Kolkata,2024-07-25,West Bengal
157,"Shetty, Bedi and Krish",Entertainment,SME,Bengaluru,2025-08-14,Karnataka
158,Shan and Sons,Travel & Transport,Micro,Mumbai,2024-10-02,Maharashtra
159,Wali-Nadig,Kirana/Local Store,SME,Jaipur,2025-02-19,Rajasthan
160,Thaman-Sandhu,Grocery,Enterprise,Pune,2024-01-30,Maharashtra
161,"Sehgal, Dutt and Soman",Grocery,SME,Bengaluru,2024-03-24,Karnataka
162,Lad-Kota,Fashion & Apparel,Micro,Indore,2024-11-05,Madhya Pradesh
163,"Malhotra, Verma and Sundaram",Travel & Transport,Micro,Ahmedabad,2025-07-28,Gujarat
164,"Khare, Maharaj and Sarraf",Food & Dining,SME,Pune,2024-03-09,Maharashtra
165,Mangal and Sons,Travel & Transport,Enterprise,Patna,2025-06-27,Bihar
166,Nayak-Nagarajan,Grocery,SME,Ahmedabad,2024-06-24,Gujarat
167,"Buch, Devi and Dora",Food & Dining,SME,Mumbai,2025-01-11,Maharashtra
168,Rajagopal Ltd,Travel & Transport,Micro,Guwahati,2024-07-18,Assam
169,Kala Inc,Electronics,Micro,Pune,2025-01-02,Maharashtra
170,Reddy-Narayanan,Fashion & Apparel,Micro,Jaipur,2024-05-15,Rajasthan
171,"Shukla, Sagar and Bhatia",Fashion & Apparel,SME,Bengaluru,2024-11-01,Karnataka
172,Salvi Group,Utilities/Bill Pay,Micro,Mumbai,2025-05-01,Maharashtra
173,"Bahri, Rai and Sood",Grocery,Micro,Mumbai,2024-07-20,Maharashtra
174,Pandey LLC,Food & Dining,SME,Kolkata,2025-05-15,West Bengal
175,Saini-Yohannan,Fashion & Apparel,Micro,Hyderabad,2025-03-11,Telangana
176,"Kannan, Sura and Kanda",Travel & Transport,Micro,Mumbai,2024-10-14,Maharashtra
177,Sarin-Sunder,Food & Dining,SME,Surat,2025-12-08,Gujarat
178,Ramachandran LLC,Grocery,Micro,Kolkata,2024-03-24,West Bengal
179,"Ravel, Gandhi and Sibal",Entertainment,Micro,Ahmedabad,2024-09-09,Gujarat
180,Walla Inc,Fashion & Apparel,SME,Delhi,2025-08-15,Delhi
181,Bala-Chacko,Fashion & Apparel,SME,Pune,2025-06-14,Maharashtra
182,"Sangha, Deshmukh and Shenoy",Kirana/Local Store,Micro,Pune,2025-09-08,Maharashtra
183,Bedi LLC,Grocery,Enterprise,Bengaluru,2024-11-05,Karnataka
184,Narang-Kakar,Fashion & Apparel,Micro,Coimbatore,2025-12-20,Tamil Nadu
185,Narain-Nazareth,Utilities/Bill Pay,Micro,Indore,2024-10-23,Madhya Pradesh
186,Mall-Sama,Education,SME,Kolkata,2025-10-16,West Bengal
187,Bumb-Singhal,Grocery,SME,Delhi,2025-06-26,Delhi
188,Zacharia Inc,Kirana/Local Store,Micro,Mumbai,2025-02-23,Maharashtra
189,Kapur-Biswas,Home Services,Micro,Patna,2025-04-10,Bihar
190,"Baria, Balasubramanian and Kota",Utilities/Bill Pay,SME,Delhi,2024-09-16,Delhi
191,Bahri PLC,Grocery,SME,Kochi,2025-03-03,Kerala
192,Khare and Sons,Entertainment,SME,Bengaluru,2025-08-17,Karnataka
193,Contractor-Kamdar,Food & Dining,SME,Chennai,2025-08-08,Tamil Nadu
194,Kunda-Pillay,Education,Enterprise,Pune,2025-02-20,Maharashtra
195,Contractor and Sons,Home Services,Micro,Mumbai,2025-12-03,Maharashtra
196,Chokshi-Bal,Fashion & Apparel,SME,Ranchi,2025-11-15,Jharkhand
197,Prashad-Ranganathan,Grocery,SME,Coimbatore,2024-12-22,Tamil Nadu
198,"Issac, Borra and Kibe",Electronics,SME,Chennai,2025-06-05,Tamil Nadu
199,Mitra Ltd,Utilities/Bill Pay,SME,Kolkata,2025-09-16,West Bengal
200,"Dara, Barman and Palan",Electronics,Micro,Patna,2024-07-07,Bihar
201,"Sangha, Prabhakar and Biswas",Electronics,Micro,Guwahati,2024-02-01,Assam
202,"Om, Arora and Salvi",Fuel,Micro,Kochi,2024-09-12,Kerala
203,Cherian-Sant,Food & Dining,Micro,Mumbai,2024-01-10,Maharashtra
204,Sharaf-Dua,Education,Micro,Pune,2025-08-18,Maharashtra
205,Goda-Vig,Food & Dining,Micro,Patna,2024-04-02,Bihar
206,"Madan, Yohannan and Sule",Kirana/Local Store,Micro,Jaipur,2025-12-14,Rajasthan
207,Sarin-Loyal,Electronics,SME,Kolkata,2025-08-22,West Bengal
208,Korpal-Chadha,Pharmacy,Micro,Kolkata,2024-12-15,West Bengal
209,Seshadri-Kohli,Food & Dining,Micro,Patna,2024-02-10,Bihar
210,Raghavan-Nayar,Fashion & Apparel,Micro,Guwahati,2024-11-13,Assam
211,Talwar LLC,Home Services,Micro,Nagpur,2025-02-02,Maharashtra
212,Sura and Sons,Food & Dining,SME,Bengaluru,2024-05-09,Karnataka
213,Kuruvilla-Oak,Fashion & Apparel,Micro,Hyderabad,2024-06-27,Telangana
214,Majumdar-Anne,Pharmacy,SME,Kochi,2025-04-12,Kerala
215,"Halder, Chada and Khurana",Fashion & Apparel,SME,Jaipur,2024-09-23,Rajasthan
216,"Ray, Suresh and Khosla",Grocery,Micro,Mumbai,2024-02-12,Maharashtra
217,"Soni, Swaminathan and Sem",Fashion & Apparel,Enterprise,Jaipur,2024-06-13,Rajasthan
218,Chander LLC,Travel & Transport,Micro,Jaipur,2024-12-12,Rajasthan
219,Ravel Ltd,Electronics,Micro,Hyderabad,2025-03-24,Telangana
220,Mohan Ltd,Kirana/Local Store,Micro,Chennai,2025-02-26,Tamil Nadu
221,"Pillay, Solanki and Wali",Kirana/Local Store,Micro,Mumbai,2024-02-09,Maharashtra
222,Sandal-Narayanan,Fashion & Apparel,Micro,Bengaluru,2024-06-07,Karnataka
223,Setty-Madan,Travel & Transport,Enterprise,Kolkata,2024-10-09,West Bengal
224,Krishnamurthy-Kashyap,Education,Enterprise,Mumbai,2024-12-10,Maharashtra
225,Hans LLC,Financial Services,Micro,Delhi,2025-06-22,Delhi
226,Wason Ltd,Grocery,Micro,Bhopal,2025-06-10,Madhya Pradesh
227,Handa and Sons,Fashion & Apparel,SME,Delhi,2024-12-20,Delhi
228,"Sule, Malhotra and Vohra",Grocery,Enterprise,Delhi,2025-03-28,Delhi
229,"Mandal, Chaudhry and Hari",Fashion & Apparel,SME,Kolkata,2025-02-19,West Bengal
230,Karan-Patel,Education,Enterprise,Mumbai,2024-06-12,Maharashtra
231,Mittal Inc,Fashion & Apparel,SME,Hyderabad,2024-09-02,Telangana
232,"Walla, Date and Mahal",Travel & Transport,Micro,Indore,2024-04-13,Madhya Pradesh
233,Bhagat PLC,Grocery,Micro,Pune,2025-04-18,Maharashtra
234,Date-Swaminathan,Grocery,Micro,Mumbai,2025-06-07,Maharashtra
235,Arora PLC,Food & Dining,SME,Ahmedabad,2025-10-25,Gujarat
236,Singh-Srinivas,Utilities/Bill Pay,Micro,Bengaluru,2025-02-02,Karnataka
237,Oak-Gour,Travel & Transport,Enterprise,Mumbai,2025-05-18,Maharashtra
238,Krishnan Group,Fashion & Apparel,SME,Nagpur,2024-06-11,Maharashtra
239,Bhattacharyya Group,Fuel,Micro,Delhi,2024-10-14,Delhi
240,Borah-Bera,Grocery,Micro,Hyderabad,2024-08-24,Telangana
241,Dixit PLC,Fashion & Apparel,SME,Hyderabad,2024-02-11,Telangana
242,Chada-Kothari,Grocery,Micro,Hyderabad,2025-06-24,Telangana
243,Saha PLC,Utilities/Bill Pay,Micro,Hyderabad,2024-11-14,Telangana
244,"Kara, Virk and Rai",Grocery,Micro,Delhi,2024-06-13,Delhi
245,Savant-Mishra,Grocery,SME,Hyderabad,2025-05-06,Telangana
246,"Sanghvi, Mody and Bhasin",Food & Dining,SME,Mumbai,2025-03-20,Maharashtra
247,"Chaudhary, Johal and Kakar",Travel & Transport,SME,Kochi,2025-11-07,Kerala
248,Bumb-Dugar,Fashion & Apparel,Enterprise,Bhopal,2024-09-24,Madhya Pradesh
249,Ghose PLC,Financial Services,Micro,Ahmedabad,2024-06-14,Gujarat
250,Dugar Inc,Grocery,Micro,Coimbatore,2024-05-03,Tamil Nadu
251,Seshadri-Singhal,Travel & Transport,Micro,Kochi,2025-07-27,Kerala
252,Bali-Kata,Utilities/Bill Pay,SME,Chennai,2024-01-23,Tamil Nadu
253,Mandal-Setty,Fashion & Apparel,Micro,Surat,2025-04-03,Gujarat
254,Kaur LLC,Fashion & Apparel,Micro,Mumbai,2025-03-14,Maharashtra
255,"Hora, Sandal and Contractor",Fashion & Apparel,Micro,Kochi,2024-02-04,Kerala
256,"Kar, Dixit and Lata",Entertainment,Micro,Ranchi,2025-01-14,Jharkhand
257,Bora Inc,Utilities/Bill Pay,Micro,Ahmedabad,2024-10-24,Gujarat
258,Mohanty PLC,Food & Dining,Micro,Pune,2025-05-30,Maharashtra
259,"Mani, Sarna and Dash",Travel & Transport,SME,Patna,2024-05-09,Bihar
260,Modi-Rau,Electronics,Enterprise,Delhi,2024-07-14,Delhi
261,Tella-Zacharia,Pharmacy,Micro,Lucknow,2025-07-22,Uttar Pradesh
262,Sarma-Buch,Grocery,Micro,Mumbai,2025-03-08,Maharashtra
263,"Baral, Sankaran and Naidu",Utilities/Bill Pay,Micro,Delhi,2025-03-17,Delhi
264,"Krishna, Bal and Chand",Financial Services,Micro,Pune,2024-01-19,Maharashtra
265,Bail Ltd,Pharmacy,SME,Delhi,2024-02-04,Delhi
266,Baria-Gill,Fashion & Apparel,SME,Bhopal,2025-09-26,Madhya Pradesh
267,Venkataraman-Sathe,Education,Micro,Kolkata,2024-04-09,West Bengal
268,Golla-Sarin,Pharmacy,Micro,Jaipur,2025-04-17,Rajasthan
269,"Swamy, Chand and Singhal",Kirana/Local Store,Enterprise,Pune,2024-07-01,Maharashtra
270,Rege-Nath,Fashion & Apparel,SME,Lucknow,2025-04-30,Uttar Pradesh
271,Cheema-Dyal,Grocery,Micro,Surat,2024-09-18,Gujarat
272,Sabharwal-Tandon,Fashion & Apparel,SME,Surat,2024-10-14,Gujarat
273,Rattan-Bansal,Pharmacy,Micro,Guwahati,2025-10-20,Assam
274,Chakrabarti-Murty,Kirana/Local Store,SME,Chennai,2025-06-18,Tamil Nadu
275,Naik-D’Alia,Food & Dining,Micro,Chennai,2025-01-23,Tamil Nadu
276,Varkey-Agarwal,Utilities/Bill Pay,Micro,Ahmedabad,2024-05-18,Gujarat
277,"Shere, Sachdev and Bhagat",Travel & Transport,SME,Bengaluru,2025-06-13,Karnataka
278,Vasa LLC,Pharmacy,Micro,Kolkata,2024-08-03,West Bengal
279,"Tara, Sathe and Behl",Pharmacy,Micro,Mumbai,2025-02-26,Maharashtra
280,Loke PLC,Utilities/Bill Pay,Micro,Surat,2024-03-31,Gujarat
281,Mani Group,Food & Dining,SME,Mumbai,2025-06-27,Maharashtra
282,"Sundaram, Dara and Balakrishnan",Grocery,SME,Ahmedabad,2025-04-16,Gujarat
283,"Khatri, Dutt and Mukhopadhyay",Fashion & Apparel,Micro,Indore,2024-04-30,Madhya Pradesh
284,"Atwal, Reddy and Chander",Food & Dining,Micro,Kolkata,2024-08-06,West Bengal
285,Comar Group,Travel & Transport,Micro,Delhi,2024-05-21,Delhi
286,Dube Group,Food & Dining,SME,Pune,2024-08-24,Maharashtra
287,"Manne, Upadhyay and Mahajan",Food & Dining,SME,Chennai,2025-06-25,Tamil Nadu
288,Subramanian-Sodhi,Pharmacy,Micro,Chennai,2025-01-30,Tamil Nadu
289,Shan PLC,Pharmacy,SME,Hyderabad,2024-10-01,Telangana
290,Rajagopal and Sons,Grocery,SME,Coimbatore,2025-08-17,Tamil Nadu
291,"Trivedi, Deshpande and Boase",Entertainment,SME,Bengaluru,2025-09-11,Karnataka
292,Sachdeva-Oak,Grocery,SME,Mumbai,2025-11-08,Maharashtra
293,"Loke, Agate and Mandal",Grocery,Micro,Bhopal,2024-09-16,Madhya Pradesh
294,"Misra, Suri and Dixit",Utilities/Bill Pay,Micro,Bengaluru,2025-08-23,Karnataka
295,Yohannan-Sule,Food & Dining,Micro,Mumbai,2025-10-21,Maharashtra
296,Natarajan-Purohit,Pharmacy,SME,Mumbai,2025-01-31,Maharashtra
297,Nagy-Gulati,Food & Dining,Micro,Mumbai,2024-04-05,Maharashtra
298,"Khare, Rajagopal and Kaur",Grocery,Micro,Pune,2025-11-16,Maharashtra
299,Bassi-Nadkarni,Travel & Transport,SME,Patna,2024-02-04,Bihar
300,"Solanki, Raj and Raju",Education,Micro,Bengaluru,2024-11-25,Karnataka
301,"Doshi, Tandon and Bansal",Entertainment,Micro,Kolkata,2024-03-28,West Bengal
302,Thakkar PLC,Grocery,SME,Delhi,2024-08-23,Delhi
303,Chaudhry-Sarraf,Food & Dining,Micro,Kolkata,2025-06-30,West Bengal
304,Vora Group,Kirana/Local Store,SME,Indore,2024-07-22,Madhya Pradesh
305,Dhawan Group,Fuel,Micro,Jaipur,2025-12-08,Rajasthan
306,"Dubey, Borde and Singh",Education,Micro,Pune,2024-07-18,Maharashtra
307,Nigam-Rao,Utilities/Bill Pay,SME,Lucknow,2025-07-24,Uttar Pradesh
308,"Buch, Narasimhan and Walla",Grocery,Enterprise,Ahmedabad,2025-12-16,Gujarat
309,Nadig-Sura,Grocery,SME,Chennai,2025-11-23,Tamil Nadu
310,"Banik, Biswas and Keer",Education,SME,Mumbai,2025-08-23,Maharashtra
311,"Mani, Karan and Chana",Pharmacy,Micro,Kolkata,2025-05-06,West Bengal
312,Chaudhari-Chaudhry,Entertainment,SME,Mumbai,2024-04-22,Maharashtra
313,Ganesan-Mistry,Entertainment,Micro,Mumbai,2025-06-24,Maharashtra
314,Batra LLC,Electronics,SME,Delhi,2025-05-16,Delhi
315,Memon LLC,Fuel,SME,Mumbai,2025-03-02,Maharashtra
316,Sankar-Dhingra,Financial Services,Enterprise,Delhi,2024-07-01,Delhi
317,Wali Group,Financial Services,Micro,Kolkata,2024-04-01,West Bengal
318,"Gole, Garde and Gill",Grocery,Micro,Hyderabad,2024-05-10,Telangana
319,Raja PLC,Fuel,Micro,Kolkata,2025-10-12,West Bengal
320,"Khosla, Tank and Dhar",Kirana/Local Store,Micro,Mumbai,2025-03-05,Maharashtra
321,Shenoy Ltd,Fuel,SME,Surat,2024-10-22,Gujarat
