refund_id,transaction_id,refund_amount,refund_date,refund_reason
53,3274,181.99,2024-12-15 19:51:19,Order Cancelled
54,3290,176.79,2024-05-04 08:53:22,Duplicate Payment
55,3432,1150.25,2025-04-20 16:29:01,Order Cancelled
56,3442,341.49,2024-10-29 19:53:09,Duplicate Payment
57,3586,457.65,2025-06-29 20:11:42,Order Cancelled
58,3587,413.96,2025-10-08 21:30:10,Product Return
59,3651,45.47,2024-12-27 19:11:59,Duplicate Payment
60,3745,658.87,2024-06-14 11:56:14,Merchant Error
61,3855,558.33,2024-11-06 20:33:26,Service Not Rendered
62,3866,141.32,2025-03-23 21:47:15,Order Cancelled
63,3872,487.46,2024-08-14 15:59:55,Merchant Error
64,3873,241.73,2025-01-07 16:40:57,Service Not Rendered
65,4028,170.82,2024-10-31 08:22:34,Duplicate Payment
66,4062,220.87,2025-02-04 21:27:58,Product Return
67,4122,1339.01,2024-06-02 12:27:37,Order Cancelled
68,4125,178.46,2024-05-27 21:55:50,Order Cancelled
69,4280,202.76,2024-05-30 18:15:43,Service Not Rendered
70,4355,303.28,2024-02-07 18:24:34,Merchant Error
71,4419,228.85,2025-10-16 11:44:32,Product Return
72,4476,128.11,2025-04-06 23:37:00,Product Return
73,4670,157.79,2025-07-08 18:08:35,Duplicate Payment
74,4772,370.42,2025-06-13 16:14:16,Merchant Error
75,4834,188.65,2025-09-06 20:49:30,Order Cancelled
76,4847,349.16,2024-11-19 17:59:09,Service Not Rendered
77,4894,322.88,2025-08-31 16:22:40,Duplicate Payment
78,4941,706.39,2024-05-16 11:50:02,Service Not Rendered
79,5006,56.11,2025-05-02 11:37:38,Order Cancelled
80,5096,123.32,2024-09-29 16:20:49,Duplicate Payment
81,5251,840.79,2024-10-11 08:15:52,Merchant Error
82,5252,268.92,2025-11-04 13:42:43,Order Cancelled
83,5273,136.91,2025-06-03 10:13:25,Merchant Error
84,5305,621.18,2024-12-05 16:33:02,Merchant Error
85,5386,459.03,2024-12-15 14:52:33,Service Not Rendered
86,5445,285.26,2025-05-13 15:20:52,Order Cancelled
87,5455,92.8,2025-07-05 19:30:11,Product Return
88,5458,253.91,2025-05-17 20:58:11,Merchant Error
89,5584,216.61,2025-11-26 12:17:17,Service Not Rendered
90,5621,103.49,2024-10-22 09:05:04,Duplicate Payment
91,5809,74.74,2025-02-02 07:43:25,Product Return
92,5844,1003.12,2024-12-30 09:46:31,Service Not Rendered
93,5849,299.45,2025-05-27 21:44:56,Merchant Error
94,5871,511.91,2025-09-05 07:49:03,Service Not Rendered
95,5896,136.04,2025-11-19 17:25:07,Order Cancelled
96,5907,136.48,2025-10-04 16:52:18,Product Return
97,5916,386.05,2025-02-18 18:37:57,Product Return
98,5936,139.89,2025-04-22 12:20:16,Order Cancelled
99,5938,115.84,2025-09-07 20:47:14,Order Cancelled
100,5971,120.65,2025-09-03 18:17:38,Product Return
101,5986,201.17,2024-05-31 12:15:04,Order Cancelled
102,6003,116.5,2025-10-06 18:22:27,Duplicate Payment
103,6148,198.92,2025-11-29 15:47:58,Order Cancelled
104,6154,901.07,2024-08-14 17:52:42,Service Not Rendered
105,6296,294.05,2025-07-11 18:19:39,Order Cancelled
106,6319,182.41,2024-07-27 06:58:56,Merchant Error
107,6328,188.4,2025-07-29 15:06:06,Order Cancelled
108,6438,98.04,2025-02-16 15:54:33,Merchant Error
109,6496,224.46,2024-08-03 08:43:24,Order Cancelled
110,6501,532.3,2024-10-07 14:46:50,Service Not Rendered
111,6521,218.6,2024-12-27 20:02:53,Order Cancelled
112,6557,272.27,2025-06-03 23:31:28,Merchant Error
113,6734,119.98,2024-09-04 12:44:28,Order Cancelled
114,6824,313.95,2025-05-14 11:25:30,Duplicate Payment
115,6830,495.73,2025-04-08 21:34:04,Product Return
116,6969,160.69,2024-07-17 22:06:35,Order Cancelled
117,6984,384.55,2025-05-02 15:30:50,Order Cancelled
118,7020,1135.19,2025-09-18 22:12:08,Duplicate Payment
119,7125,685.86,2025-11-17 21:20:58,Order Cancelled
120,7137,554.24,2025-10-11 20:22:00,Order Cancelled
121,7194,330.87,2024-11-27 19:01:48,Order Cancelled
122,7246,173.52,2024-03-08 18:26:29,Order Cancelled
123,7284,285.79,2024-01-10 20:26:13,Duplicate Payment
124,7320,573.43,2025-09-18 19:27:23,Order Cancelled
125,7481,579.6,2025-06-19 13:09:49,Merchant Error
126,7675,131.74,2024-06-23 19:05:07,Product Return
127,7854,833.76,2025-05-20 11:00:52,Product Return
128,7874,126.62,2024-08-06 22:20:49,Merchant Error
129,7911,428.89,2024-08-30 07:23:01,Order Cancelled
130,7914,123.76,2024-08-14 15:05:31,Order Cancelled
131,7925,255.8,2024-11-17 12:18:22,Order Cancelled
132,7942,196.78,2024-10-17 08:25:24,Product Return
133,7989,112.53,2024-02-22 05:17:21,Duplicate Payment
134,7993,276.27,2025-10-14 10:44:23,Duplicate Payment
135,8115,136.69,2024-05-23 09:08:55,Service Not Rendered
136,8193,679.82,2024-06-15 12:36:53,Order Cancelled
137,8201,1174.13,2024-01-16 21:47:20,Product Return
138,8239,983.93,2025-07-19 23:05:27,Service Not Rendered
139,8259,153.67,2025-11-21 08:13:44,Duplicate Payment
140,8274,272.0,2025-09-16 01:49:55,Order Cancelled
141,8373,372.82,2024-11-21 06:51:11,Merchant Error
142,8375,353.72,2025-12-15 09:00:13,Order Cancelled
143,8389,35.84,2025-05-20 16:42:29,Order Cancelled
144,8406,118.98,2024-04-22 13:29:22,Service Not Rendered
145,8490,201.03,2025-08-15 16:43:54,Merchant Error
146,8592,369.56,2024-06-01 08:38:50,Order Cancelled
147,8608,70.08,2024-02-09 13:26:10,Duplicate Payment
148,8636,212.87,2024-11-08 12:02:41,Order Cancelled
149,8712,441.35,2024-04-24 19:04:41,Order Cancelled
150,8742,163.26,2025-11-12 15:50:22,Order Cancelled
151,8752,427.16,2024-09-07 16:01:48,Order Cancelled
152,8850,415.1,2025-11-18 10:03:00,Order Cancelled
153,8863,357.81,2025-07-17 19:48:16,Service Not Rendered
154,8870,151.13,2026-01-03 17:16:45,Merchant Error
155,8905,280.44,2025-03-29 11:30:51,Duplicate Payment
156,8939,234.13,2024-02-23 13:33:19,Product Return
157,9007,765.44,2024-09-02 20:31:43,Product Return
158,9020,175.57,2024-12-08 18:13:31,Order Cancelled
159,9025,239.9,2025-11-17 11:54:03,Merchant Error
160,9033,337.9,2024-09-13 23:40:39,Order Cancelled
161,9069,543.68,2024-07-13 16:59:15,Order Cancelled
162,9070,355.59,2024-02-18 06:42:59,Product Return
163,9169,155.14,2024-01-04 20:24:36,Order Cancelled
164,9201,311.97,2025-08-24 15:01:41,Duplicate Payment
165,9261,135.85,2024-04-07 08:26:03,Product Return
166,9291,228.25,2025-01-04 05:02:03,Duplicate Payment
167,9328,620.87,2025-02-05 22:47:37,Product Return
168,9352,992.53,2025-07-11 21:26:28,Service Not Rendered
169,9464,601.42,2024-02-11 07:54:05,Order Cancelled
170,9482,127.54,2025-11-30 17:00:37,Duplicate Payment
171,9507,700.52,2024-11-25 14:27:02,Merchant Error
172,9564,424.07,2025-09-01 23:18:19,Product Return
173,9733,230.43,2025-04-04 16:26:51,Order Cancelled
174,9813,209.99,2024-09-17 05:13:56,Merchant Error
175,9820,725.64,2024-05-11 12:35:01,Order Cancelled
176,9896,185.68,2024-11-13 19:15:21,Order Cancelled
177,9897,114.4,2024-09-07 13:56:19,Duplicate Payment
178,9957,266.9,2025-03-17 10:03:30,Order Cancelled
179,9979,220.31,2024-08-11 08:00:16,Duplicate Payment
180,10010,190.45,2025-12-14 14:05:54,Product Return
181,10033,220.62,2024-03-22 20:44:50,Duplicate Payment
182,10129,136.69,2024-05-31 10:54:04,Merchant Error
183,10144,202.5,2025-12-02 11:50:24,Order Cancelled
184,10172,794.52,2025-04-29 18:21:33,Service Not Rendered
185,10259,323.25,2024-01-10 03:08:09,Duplicate Payment
186,10266,310.88,2026-01-02 18:36:52,Product Return
187,10304,359.08,2025-12-12 20:34:57,Merchant Error
188,10320,147.04,2025-07-20 19:35:22,Order Cancelled
189,10357,155.98,2024-03-17 00:44:07,Order Cancelled
190,10424,213.05,2024-03-22 21:26:04,Order Cancelled
191,10563,915.68,2024-12-15 18:39:31,Product Return
192,10583,399.25,2024-07-12 14:08:17,Service Not Rendered
193,10586,585.31,2024-05-31 19:24:11,Order Cancelled
194,10614,447.33,2024-11-08 18:50:56,Service Not Rendered
195,10624,167.74,2024-10-10 11:21:13,Order Cancelled
196,10688,522.66,2024-02-28 08:22:56,Product Return
197,10782,167.63,2024-11-12 18:13:50,Order Cancelled
198,10799,266.97,2024-07-16 20:47:10,Order Cancelled
199,10803,420.13,2025-08-14 09:02:18,Service Not Rendered
200,10824,239.37,2025-08-02 18:53:12,Order Cancelled
201,10972,616.55,2024-11-24 00:13:31,Order Cancelled
202,11007,178.39,2025-01-18 20:50:42,Duplicate Payment
203,11090,372.64,2025-10-23 15:46:29,Order Cancelled
204,11105,64.36,2025-05-29 13:04:04,Duplicate Payment
205,11151,679.5,2024-05-04 22:19:47,Duplicate Payment
206,11157,300.19,2024-12-31 20:12:48,Duplicate Payment
207,11167,1178.25,2024-07-12 13:39:49,Product Return
208,11265,164.62,2025-04-12 17:38:47,Duplicate Payment
209,11276,827.66,2024-01-21 12:16:06,Duplicate Payment
210,11394,874.05,2025-01-16 09:07:50,Order Cancelled
211,11452,114.41,2024-12-09 23:30:53,Service Not Rendered
212,11455,172.08,2025-03-18 11:35:37,Order Cancelled
213,11543,494.05,2025-10-30 19:43:15,Merchant Error
214,11719,113.68,2025-10-25 14:54:13,Merchant Error
215,11721,265.29,2024-12-23 18:09:49,Merchant Error
216,11748,474.4,2024-11-19 07:17:19,Duplicate Payment
217,11777,398.04,2024-11-11 21:04:32,Merchant Error
218,12015,394.69,2025-11-18 21:09:21,Order Cancelled
219,12075,113.33,2025-07-31 18:37:45,Product Return
220,12093,320.34,2025-02-13 14:35:23,Duplicate Payment
221,12285,182.83,2025-10-24 09:26:45,Order Cancelled
222,12292,390.27,2025-01-18 21:13:17,Product Return
223,12381,148.31,2025-08-07 17:51:27,Product Return
224,12429,188.46,2025-05-22 20:06:40,Order Cancelled
225,12482,67.92,2024-10-14 13:38:13,Order Cancelled
226,12491,1219.59,2025-06-14 12:30:24,Product Return
227,12500,109.2,2025-04-24 22:37:47,Order Cancelled
228,12559,263.55,2025-07-11 18:31:56,Product Return
229,12593,303.82,2025-10-03 19:34:44,Product Return
230,12612,165.04,2024-12-02 13:37:22,Product Return
231,12707,140.86,2025-08-16 20:16:06,Service Not Rendered
232,12719,190.38,2025-01-24 22:55:52,Order Cancelled
233,12738,85.6,2024-07-23 08:48:17,Order Cancelled
234,12760,256.34,2024-03-13 18:48:42,Merchant Error
235,12789,221.58,2025-05-25 15:47:42,Merchant Error
236,12872,165.15,2024-02-21 14:44:18,Duplicate Payment
237,12907,410.54,2024-06-14 22:27:19,Product Return
238,12955,728.77,2024-11-23 11:45:19,Duplicate Payment
239,12987,166.9,2025-12-24 20:08:35,Duplicate Payment
240,13000,413.16,2024-07-13 07:57:50,Product Return
241,13033,108.22,2025-08-17 16:34:57,Order Cancelled
242,13089,1357.73,2024-03-27 19:43:06,Product Return
243,13125,111.11,2025-07-03 18:01:39,Merchant Error
244,13173,65.36,2025-09-02 22:28:55,Product Return
245,13182,1030.23,2025-10-27 00:02:11,Service Not Rendered
246,13272,97.53,2024-10-17 18:55:52,Duplicate Payment
247,13421,270.08,2024-10-19 22:08:49,Order Cancelled
248,13457,673.49,2024-07-13 14:40:16,Order Cancelled
249,13461,449.28,2025-12-01 20:25:28,Service Not Rendered
250,13501,799.94,2024-07-01 18:19:25,Order Cancelled
251,13643,281.88,2025-12-23 13:01:51,Service Not Rendered
252,13685,564.33,2025-06-04 05:21:00,Duplicate Payment
253,13746,1000.19,2024-05-13 20:21:22,Order Cancelled
254,13771,233.29,2024-03-24 09:39:25,Product Return
255,13808,70.13,2025-01-01 18:30:28,Service Not Rendered
256,13824,352.32,2024-07-28 14:57:48,Service Not Rendered
257,13882,237.87,2024-12-02 19:12:23,Product Return
258,13886,68.77,2025-11-18 07:47:22,Duplicate Payment
259,13928,230.21,2024-06-17 21:40:32,Product Return
260,13945,350.7,2024-08-10 07:51:25,Order Cancelled
261,14073,246.7,2024-12-02 20:16:42,Order Cancelled
262,14083,261.58,2024-07-08 21:44:04,Duplicate Payment
263,14102,191.0,2024-11-14 08:23:04,Product Return
264,14121,299.31,2024-10-06 07:51:45,Order Cancelled
265,14239,411.45,2024-12-23 10:37:23,Duplicate Payment
266,14291,242.03,2025-11-03 09:55:14,Product Return
267,14298,683.38,2025-04-13 11:57:58,Merchant Error
268,14344,295.47,2024-03-01 21:32:07,Product Return
269,14477,199.09,2025-09-23 12:41:36,Order Cancelled
270,14537,313.52,2024-09-24 19:26:51,Product Return
271,14570,170.64,2025-04-25 13:58:50,Product Return
272,14571,46.45,2025-11-01 10:05:51,Order Cancelled
273,14582,118.31,2024-08-10 18:20:17,Order Cancelled
274,14628,314.08,2025-01-09 00:32:31,Product Return
275,14636,196.12,2025-07-05 16:38:45,Product Return
276,14676,236.07,2025-02-02 19:24:37,Product Return
277,14689,216.8,2024-06-16 05:46:46,Order Cancelled
278,14708,462.16,2025-12-16 16:50:11,Order Cancelled
279,14834,186.17,2025-01-01 12:36:56,Duplicate Payment
280,14845,236.71,2024-09-24 11:44:15,Product Return
281,14895,588.23,2024-10-13 15:29:44,Service Not Rendered
282,14908,149.47,2024-11-03 14:30:17,Order Cancelled
283,14964,611.21,2024-05-29 10:26:54,Product Return
284,15027,103.08,2025-03-31 12:28:35,Duplicate Payment
285,15114,316.9,2025-11-08 16:49:03,Order Cancelled
286,15131,95.94,2025-05-01 13:55:05,Product Return
287,15157,131.46,2024-11-22 12:21:56,Product Return
288,15189,489.3,2025-09-05 20:32:17,Order Cancelled
289,15314,342.7,2024-06-06 18:50:51,Merchant Error
290,15402,113.95,2025-09-26 14:51:15,Order Cancelled
291,15421,149.83,2025-01-06 21:08:53,Order Cancelled
292,15503,621.08,2024-12-29 14:35:31,Order Cancelled
293,15622,573.28,2025-04-27 09:48:32,Product Return
294,15668,147.62,2025-12-30 12:27:49,Merchant Error
295,15671,189.95,2025-08-20 13:48:53,Product Return
296,15767,238.48,2024-05-23 07:39:51,Order Cancelled
297,15851,223.8,2025-11-12 12:26:02,Duplicate Payment
298,15986,172.3,2024-04-26 22:57:54,Order Cancelled
299,16071,178.98,2025-04-25 17:25:42,Merchant Error
300,16131,261.57,2025-02-10 18:16:48,Duplicate Payment
301,16166,484.36,2024-09-20 08:57:34,Duplicate Payment
302,16170,381.88,2024-10-01 16:56:11,Merchant Error
303,16180,212.5,2024-10-30 11:43:57,Product Return
304,16206,281.28,2025-01-14 06:02:44,Product Return
305,16207,102.82,2024-08-17 18:53:56,Order Cancelled
306,16277,113.22,2025-01-08 09:34:37,Service Not Rendered
307,16280,604.7,2025-10-27 20:10:23,Duplicate Payment
308,16356,337.94,2024-01-27 18:04:39,Duplicate Payment
309,16387,560.02,2024-12-27 08:55:56,Service Not Rendered
310,16428,323.86,2024-01-10 20:41:13,Merchant Error
311,16446,493.07,2024-02-11 11:35:14,Order Cancelled
312,16637,378.25,2024-11-28 11:56:15,Order Cancelled
313,16658,155.79,2025-01-05 19:43:39,Product Return
314,16667,207.28,2025-12-02 19:19:01,Merchant Error
315,16722,306.92,2024-01-19 15:21:06,Order Cancelled
316,16808,649.01,2025-11-12 22:18:10,Product Return
317,16919,278.26,2025-01-29 21:44:36,Product Return
318,16996,357.42,2024-03-10 21:42:15,Duplicate Payment
319,17003,109.55,2025-10-05 07:17:49,Order Cancelled
320,17248,514.9,2025-01-17 17:11:50,Duplicate Payment
321,17289,81.61,2025-10-25 15:18:15,Service Not Rendered
322,17518,342.05,2025-02-16 12:50:43,Order Cancelled
323,17532,165.52,2024-01-10 22:22:23,Order Cancelled
324,17565,204.66,2024-12-23 21:09:00,Order Cancelled
325,17574,187.32,2025-10-26 19:22:44,Product Return
326,17578,483.11,2024-11-23 11:20:31,Order Cancelled
327,17611,1259.11,2024-03-20 08:53:56,Order Cancelled
328,17624,340.76,2025-09-03 17:57:39,Product Return
329,17667,563.85,2025-08-16 09:46:23,Product Return
330,17731,396.98,2025-10-22 12:24:13,Merchant Error
331,17761,279.87,2025-10-30 12:53:26,Merchant Error
332,17790,296.54,2024-11-25 15:48:42,Duplicate Payment
333,17821,268.54,2025-02-08 06:57:50,Service Not Rendered
334,17854,241.76,2025-05-14 05:46:09,Merchant Error
335,17875,160.59,2024-02-19 19:28:06,Duplicate Payment
336,17890,281.03,2025-02-24 19:05:31,Order Cancelled
337,17947,522.91,2025-10-06 09:22:53,Product Return
338,17948,153.08,2024-09-06 23:24:40,Order Cancelled
339,18029,76.49,2025-03-11 07:13:22,Duplicate Payment
340,18168,436.49,2025-08-05 18:53:37,Duplicate Payment
341,18245,280.53,2024-05-19 11:16:23,Service Not Rendered
342,18337,222.21,2025-05-06 12:28:00,Merchant Error
343,18418,129.48,2025-04-22 09:43:19,Order Cancelled
344,18420,329.31,2025-10-07 10:50:06,Order Cancelled
345,18427,124.17,2025-12-07 23:21:41,Service Not Rendered
346,18470,177.41,2025-06-23 20:09:48,Order Cancelled
347,18598,1096.84,2024-12-02 19:06:39,Order Cancelled
348,18855,109.14,2025-03-28 13:31:16,Order Cancelled
349,19089,124.58,2024-05-10 20:23:35,Duplicate Payment
350,19165,274.04,2025-11-13 19:17:57,Order Cancelled
351,19256,551.36,2024-07-23 09:34:57,Order Cancelled
352,19307,326.51,2024-10-16 18:57:43,Product Return
353,19319,311.39,2025-10-05 18:15:10,Service Not Rendered
354,19402,96.05,2024-10-15 20:50:58,Duplicate Payment
355,19418,100.15,2024-04-16 20:07:37,Product Return
356,19425,1135.77,2024-09-26 12:02:33,Merchant Error
357,19520,387.46,2025-01-08 16:15:48,Product Return
358,19691,148.6,2024-02-06 18:38:09,Service Not Rendered
359,19753,186.02,2024-09-24 22:03:34,Merchant Error
360,19795,275.78,2024-11-21 19:18:32,Order Cancelled
361,19831,606.6,2025-01-03 14:36:48,Product Return
362,19909,1041.67,2024-11-01 17:10:07,Merchant Error
363,19910,566.36,2025-11-26 16:51:18,Service Not Rendered
364,19946,298.5,2025-04-23 07:35:14,Service Not Rendered
365,19973,128.77,2025-01-29 12:43:06,Duplicate Payment
366,20256,407.7,2025-06-13 08:25:04,Duplicate Payment
367,20270,176.71,2024-02-11 22:26:45,Product Return
368,20307,122.93,2025-12-11 17:56:34,Duplicate Payment
369,20491,365.47,2024-02-07 20:08:44,Order Cancelled
370,20568,268.35,2024-12-06 20:50:03,Product Return
371,20577,616.43,2025-04-26 15:24:57,Product Return
372,20618,376.14,2024-11-16 02:31:18,Service Not Rendered
373,20671,310.87,2025-05-26 19:41:12,Order Cancelled
374,20805,244.68,2025-12-11 22:59:37,Duplicate Payment
375,20875,717.62,2025-07-11 12:35:37,Order Cancelled
376,20893,1068.34,2024-01-11 19:07:27,Order Cancelled
377,21012,201.4,2024-03-28 09:56:14,Duplicate Payment
378,21085,137.64,2024-06-29 21:57:31,Duplicate Payment
379,21176,849.18,2024-10-15 08:57:08,Product Return
380,21190,617.21,2024-12-16 19:43:24,Duplicate Payment
381,21315,376.87,2024-12-04 19:58:01,Product Return
382,21419,203.43,2024-02-11 18:14:59,Duplicate Payment
383,21492,602.99,2024-09-26 14:24:47,Duplicate Payment
384,21552,384.43,2024-09-28 19:22:01,Merchant Error
385,21684,88.44,2025-09-01 18:47:13,Order Cancelled
386,21739,202.87,2025-12-23 20:52:41,Merchant Error
387,21769,172.43,2025-06-01 13:21:47,Order Cancelled
388,21839,105.42,2025-09-11 00:56:59,Product Return
389,21883,183.51,2024-10-29 11:44:08,Service Not Rendered
390,22105,211.58,2025-07-06 07:48:13,Product Return
391,22120,166.91,2025-04-10 13:18:30,Order Cancelled
392,22175,203.95,2025-04-01 07:38:34,Service Not Rendered
393,22219,421.96,2024-12-28 12:59:37,Service Not Rendered
394,22314,425.53,2024-03-25 11:15:13,Order Cancelled
395,22342,416.64,2024-02-12 14:26:08,Service Not Rendered
396,22359,355.35,2024-12-05 19:59:23,Duplicate Payment
397,22475,1021.63,2025-11-05 11:24:58,Order Cancelled
398,22526,180.79,2024-05-05 17:29:07,Merchant Error
399,22542,182.78,2025-10-16 13:17:05,Order Cancelled
400,22565,289.39,2025-09-16 19:09:30,Duplicate Payment
401,22594,417.56,2025-04-08 12:45:39,Merchant Error
402,22597,1276.51,2025-08-02 13:03:03,Product Return
403,22629,98.8,2024-09-23 09:30:01,Product Return
404,22668,2067.69,2024-06-12 17:20:02,Order Cancelled
405,22710,85.6,2025-02-26 11:48:23,Order Cancelled
406,22714,295.92,2025-04-29 19:09:49,Product Return
407,22730,250.33,2025-05-13 10:36:59,Duplicate Payment
408,22795,826.0,2024-05-11 18:00:12,Order Cancelled
409,22807,262.29,2024-10-20 21:27:28,Service Not Rendered
410,22825,401.27,2025-01-25 03:37:26,Service Not Rendered
411,23118,435.75,2025-10-24 13:27:31,Merchant Error
412,23288,461.44,2024-04-01 08:07:45,Product Return
413,23297,300.42,2024-08-02 20:15:13,Product Return
414,23361,402.72,2025-02-02 12:52:10,Product Return
415,23423,220.29,2024-11-23 06:00:08,Service Not Rendered
416,23528,437.26,2025-10-01 14:41:08,Duplicate Payment
417,23578,220.76,2024-06-19 07:22:59,Product Return
418,23662,304.24,2025-01-30 07:34:34,Product Return
419,23678,337.83,2025-06-13 20:25:57,Order Cancelled
420,23694,480.75,2024-04-09 09:15:26,Merchant Error
421,23775,223.61,2025-08-16 13:37:43,Merchant Error
422,23812,179.5,2025-05-10 15:34:03,Product Return
423,23826,64.19,2024-10-13 19:36:37,Merchant Error
424,23841,400.61,2025-10-11 19:02:35,Product Return
425,23932,137.23,2025-07-09 18:55:15,Order Cancelled
426,23937,233.51,2025-01-04 15:11:06,Order Cancelled
427,23985,147.6,2025-05-01 14:05:02,Order Cancelled
428,24054,201.73,2024-06-22 00:49:10,Order Cancelled
429,24058,235.23,2024-11-30 19:46:07,Order Cancelled
430,24110,526.93,2024-07-21 09:42:37,Product Return
431,24128,177.75,2025-11-22 14:23:37,Duplicate Payment
432,24130,105.87,2024-10-07 12:34:30,Merchant Error
433,24165,823.6,2024-03-06 20:54:31,Duplicate Payment
434,24280,244.25,2024-07-13 09:03:37,Order Cancelled
435,24306,50.76,2025-11-25 14:29:03,Product Return
436,24318,323.0,2024-07-27 18:38:03,Duplicate Payment
437,24345,280.15,2025-03-30 12:17:10,Merchant Error
438,24501,153.94,2024-10-06 13:54:05,Order Cancelled
439,24511,187.1,2025-06-07 19:16:05,Merchant Error
440,24588,285.54,2025-07-05 11:28:45,Merchant Error
441,24618,710.97,2024-09-16 20:42:47,Duplicate Payment
442,24735,483.67,2024-10-20 12:45:01,Product Return
443,24896,367.36,2025-06-09 11:45:24,Duplicate Payment
444,25110,295.26,2024-04-05 13:16:27,Product Return
445,25139,532.34,2024-10-08 08:16:56,Duplicate Payment
446,25151,106.29,2024-08-26 13:30:03,Merchant Error
447,25152,693.31,2024-03-29 17:30:31,Duplicate Payment
448,25194,326.15,2024-07-19 22:56:37,Merchant Error
449,25208,308.78,2025-03-23 12:22:58,Merchant Error
450,25236,140.33,2024-08-09 18:19:34,Duplicate Payment
451,25279,397.78,2025-04-17 11:31:33,Product Return
452,25415,893.17,2025-05-02 19:48:03,Order Cancelled
453,25645,252.19,2024-05-06 22:02:05,Product Return
454,25673,352.55,2025-01-04 09:55:10,Order Cancelled
455,25693,321.37,2024-08-07 10:06:45,Order Cancelled
456,25727,644.44,2024-07-25 17:05:31,Order Cancelled
457,25778,305.87,2024-05-31 20:36:07,Duplicate Payment
458,25827,312.8,2025-01-26 17:28:37,Order Cancelled
459,25885,125.3,2024-10-28 13:24:31,Product Return
460,26196,155.4,2025-08-27 10:42:04,Order Cancelled
461,26278,279.08,2024-08-10 20:56:46,Order Cancelled
462,26300,139.45,2024-01-17 18:11:21,Order Cancelled
463,26335,809.3,2024-04-11 23:31:46,Service Not Rendered
464,26350,559.81,2025-03-24 16:52:21,Duplicate Payment
465,26408,214.04,2025-12-03 22:28:55,Merchant Error
466,26425,952.08,2024-03-19 20:33:56,Order Cancelled
467,26444,275.99,2025-12-06 08:11:03,Order Cancelled
468,26506,658.54,2025-03-05 14:44:13,Order Cancelled
469,26551,171.22,2024-10-30 00:44:58,Order Cancelled
470,26616,159.24,2025-12-08 12:28:29,Duplicate Payment
471,26673,307.31,2025-04-07 16:14:03,Merchant Error
472,26736,782.16,2024-11-19 12:53:55,Merchant Error
