device_id,user_id,device_type,primary_network
93,77,Android,5G
94,78,Android,4G
95,78,Android,4G
96,79,iOS,5G
97,80,Android,5G
98,81,Android,WiFi
99,82,Web,WiFi
100,83,iOS,3G
101,84,Android,4G
102,85,iOS,4G
103,86,Android,WiFi
104,87,Android,4G
105,88,iOS,4G
106,89,Android,WiFi
107,90,Android,5G
108,91,Android,4G
109,92,Android,WiFi
110,93,iOS,WiFi
111,94,Android,4G
112,95,Android,3G
113,96,Android,4G
114,97,iOS,4G
115,98,Android,4G
116,99,Android,5G
117,99,Android,5G
118,100,iOS,4G
119,100,Android,WiFi
120,101,Android,4G
121,102,Android,4G
122,103,Android,WiFi
123,104,Android,5G
124,104,Android,4G
125,105,Android,3G
126,106,Android,4G
127,107,Android,5G
128,108,Android,4G
129,109,Android,4G
130,109,iOS,WiFi
131,110,Android,5G
132,110,Android,4G
133,111,Android,4G
134,112,Android,3G
135,113,Android,WiFi
136,113,Android,WiFi
137,114,Web,4G
138,115,Android,WiFi
139,116,iOS,4G
140,117,Android,4G
141,118,Android,5G
142,119,Android,4G
143,120,Web,4G
144,121,iOS,4G
145,122,Android,4G
146,122,Android,5G
147,123,Android,5G
148,123,iOS,5G
149,124,Android,4G
150,125,Android,5G
151,126,Android,5G
152,127,Android,4G
153,128,Android,WiFi
154,129,Web,4G
155,130,Android,WiFi
156,131,iOS,WiFi
157,132,Android,4G
158,133,Android,WiFi
159,134,Android,5G
160,135,Android,4G
161,135,Android,WiFi
162,136,Android,4G
163,137,Android,4G
164,138,Android,WiFi
165,139,Android,WiFi
166,140,Android,4G
167,141,Android,3G
168,142,Android,5G
169,143,iOS,5G
170,144,Android,4G
171,144,iOS,5G
172,145,Android,4G
173,146,Android,5G
174,146,Android,4G
175,147,Android,4G
176,148,Android,4G
177,149,Web,4G
178,150,Android,4G
179,151,iOS,4G
180,152,Android,4G
181,153,Android,4G
182,154,Android,WiFi
183,155,iOS,4G
184,155,Android,4G
185,156,Android,5G
186,157,Android,5G
187,158,Android,5G
188,159,Android,4G
189,160,Android,4G
190,161,Android,4G
191,162,iOS,4G
192,163,Android,4G
193,164,iOS,WiFi
194,164,Android,4G
195,165,Android,4G
196,165,iOS,5G
197,166,Android,5G
198,167,Android,WiFi
199,168,iOS,5G
200,169,iOS,4G
201,170,iOS,4G
202,171,iOS,5G
203,172,Android,4G
204,173,Android,4G
205,174,iOS,4G
206,175,Web,WiFi
207,176,Android,4G
208,176,iOS,4G
209,177,Android,5G
210,178,Android,5G
211,178,Android,5G
212,179,iOS,WiFi
213,180,iOS,3G
214,181,Android,4G
215,181,Android,WiFi
216,182,Android,WiFi
217,183,Android,4G
218,184,Android,WiFi
219,185,iOS,5G
220,186,iOS,4G
221,187,Android,5G
222,188,Android,5G
223,188,Android,WiFi
224,189,Android,4G
225,190,iOS,5G
226,191,Android,4G
227,192,Android,4G
228,193,Android,4G
229,194,Android,5G
230,195,Android,5G
231,196,Android,5G
232,196,Android,4G
233,197,Android,5G
234,198,Android,4G
235,198,Android,4G
236,199,Android,WiFi
237,200,Android,5G
238,201,Android,5G
239,202,Android,5G
240,202,iOS,5G
241,203,Android,4G
242,204,Android,5G
243,205,iOS,5G
244,206,iOS,5G
245,207,Android,4G
246,208,Android,5G
247,208,Android,4G
248,209,iOS,4G
249,210,Android,WiFi
250,210,Android,5G
251,211,Android,5G
252,211,Android,WiFi
253,212,iOS,3G
254,213,Android,4G
255,214,Android,5G
256,215,Android,4G
257,216,iOS,4G
258,217,Android,3G
259,218,Android,WiFi
260,219,Android,4G
261,220,Android,4G
262,221,Android,4G
263,221,Android,4G
264,222,Android,4G
265,223,iOS,4G
266,224,Android,4G
267,225,iOS,4G
268,226,Android,5G
269,226,Android,5G
270,227,Android,4G
271,228,Android,5G
272,229,Android,5G
273,230,Android,4G
274,230,Web,5G
275,231,Android,4G
276,232,Android,5G
277,233,Android,5G
278,234,iOS,WiFi
279,235,Android,5G
280,236,Android,5G
281,237,iOS,4G
282,238,iOS,4G
283,238,iOS,WiFi
284,239,iOS,WiFi
285,240,Android,4G
286,241,Android,WiFi
287,242,Android,4G
288,243,Android,3G
289,243,Android,5G
290,244,Android,4G
291,245,Android,4G
292,246,iOS,WiFi
293,247,Android,4G
294,248,Android,4G
295,249,Android,4G
296,250,Android,WiFi
297,251,Android,4G
298,252,Web,4G
299,253,Android,4G
300,254,Android,4G
301,255,Android,3G
302,256,Android,5G
303,257,Android,WiFi
304,258,Android,4G
305,259,Android,4G
306,260,iOS,4G
307,261,Android,5G
308,262,Android,WiFi
309,263,Android,5G
310,263,Android,WiFi
311,264,iOS,4G
312,265,Android,4G
313,266,Android,5G
314,266,Android,4G
315,267,iOS,4G
316,268,Web,4G
317,269,Android,4G
318,270,Android,4G
319,270,Android,4G
320,271,Android,4G
321,272,Android,WiFi
322,273,Android,4G
323,274,iOS,WiFi
324,275,Android,4G
325,276,Android,4G
326,277,Android,5G
327,278,Android,5G
328,279,Android,4G
329,280,iOS,4G
330,281,Android,4G
331,282,Android,WiFi
332,283,Android,4G
333,284,Android,4G
334,284,Android,4G
335,285,iOS,WiFi
336,285,Android,4G
337,286,Android,4G
338,287,Android,5G
339,288,Android,5G
340,289,iOS,WiFi
341,290,Web,5G
342,291,Android,WiFi
343,292,iOS,5G
344,293,Android,5G
345,294,Android,5G
346,294,Android,4G
347,295,Android,5G
348,295,Android,5G
349,296,Android,5G
350,296,Web,4G
351,297,Android,5G
352,298,Android,3G
353,299,Android,5G
354,300,Android,4G
355,301,Android,4G
356,302,Android,WiFi
357,303,Android,5G
358,304,Android,WiFi
359,305,Web,5G
360,305,iOS,5G
361,306,Android,WiFi
362,306,iOS,4G
363,307,Android,5G
364,308,Android,4G
365,309,Android,WiFi
366,310,iOS,4G
367,311,Android,4G
368,312,Android,4G
369,312,iOS,4G
370,313,Android,5G
371,314,Android,5G
372,315,Web,WiFi
373,316,Android,4G
374,317,Android,5G
375,317,Android,WiFi
376,318,iOS,4G
377,319,iOS,4G
378,320,Android,4G
379,320,iOS,WiFi
380,321,Android,4G
381,322,Android,5G
382,323,Android,4G
383,324,Android,WiFi
384,325,Android,WiFi
385,325,Android,4G
386,326,Android,4G
387,327,Android,4G
388,328,iOS,4G
389,329,Web,4G
390,330,Android,5G
391,331,Android,4G
392,332,Android,WiFi
393,333,Android,5G
394,334,Android,WiFi
395,334,Android,4G
396,335,Android,4G
397,336,Android,WiFi
398,337,Android,WiFi
399,338,Android,WiFi
400,338,Android,4G
401,339,Android,5G
402,340,Android,5G
403,341,Android,4G
404,341,Android,5G
405,342,Android,5G
406,343,Android,WiFi
407,344,Android,5G
408,345,Android,WiFi
409,346,Android,WiFi
410,347,Web,4G
411,348,iOS,5G
412,348,Android,WiFi
413,349,Android,WiFi
414,350,iOS,4G
415,351,Android,WiFi
416,352,Android,5G
417,353,Android,3G
418,354,Android,5G
419,355,Android,3G
420,356,Android,WiFi
421,356,Android,5G
422,357,Android,4G
423,358,Android,5G
424,359,iOS,5G
425,360,Android,4G
426,360,iOS,4G
427,361,Android,5G
428,362,Android,WiFi
429,363,Android,5G
430,363,Android,4G
431,364,Android,4G
432,365,Android,WiFi
433,366,Android,5G
434,367,Android,4G
435,368,Android,WiFi
436,369,Android,WiFi
437,370,iOS,5G
438,371,Android,4G
439,372,iOS,5G
440,373,Android,5G
441,374,Android,WiFi
442,374,Android,4G
443,375,iOS,4G
444,376,Android,4G
445,377,Web,4G
446,378,Android,4G
447,379,Android,4G
448,380,Android,3G
449,381,Android,4G
450,382,Android,5G
451,383,Android,5G
452,384,iOS,5G
453,385,iOS,WiFi
454,386,Android,4G
455,387,Android,5G
456,388,Android,4G
457,388,Android,4G
458,389,iOS,4G
459,389,Web,4G
460,390,Android,5G
461,391,Android,5G
462,392,Android,4G
463,393,Android,4G
464,394,Android,WiFi
465,395,Android,4G
466,395,Android,4G
467,396,iOS,5G
468,397,iOS,5G
469,397,Android,WiFi
470,398,Android,WiFi
471,399,Android,4G
472,400,iOS,4G
473,401,Android,WiFi
474,402,Android,4G
475,403,Android,4G
476,403,Android,5G
477,404,Android,4G
478,404,Android,4G
479,405,Android,5G
480,406,Android,4G
481,407,Android,5G
482,408,Android,4G
483,409,Android,5G
484,410,iOS,4G
485,411,Android,5G
486,412,iOS,WiFi
487,413,Android,3G
488,414,iOS,5G
489,415,Android,3G
490,416,Web,4G
491,417,Android,4G
492,418,Android,4G
493,419,Android,WiFi
494,420,Android,WiFi
495,421,Android,WiFi
496,422,Android,4G
497,423,iOS,4G
498,424,Android,5G
499,424,iOS,5G
500,425,Android,5G
501,426,iOS,4G
502,427,Android,4G
503,428,Android,5G
504,429,Android,3G
505,430,Android,4G
506,431,Android,4G
507,432,Android,5G
508,433,Android,WiFi
509,434,Android,4G
510,435,Android,WiFi
511,436,Android,5G
512,436,iOS,5G
513,437,Android,4G
514,438,Android,5G
515,439,Android,4G
516,440,Android,4G
517,441,iOS,WiFi
518,441,Android,4G
519,442,iOS,4G
520,443,Android,WiFi
521,444,Android,4G
522,445,Android,4G
523,446,Android,5G
524,447,Android,5G
525,448,Android,WiFi
526,449,Android,5G
527,450,Android,4G
528,451,Android,WiFi
529,452,iOS,WiFi
530,453,Android,5G
531,454,Android,5G
532,455,Android,WiFi
533,456,Android,WiFi
534,456,Android,5G
535,457,Android,WiFi
536,458,Android,4G
537,459,iOS,4G
538,460,Android,WiFi
539,461,Android,5G
540,462,iOS,5G
541,463,Android,5G
542,463,Android,5G
543,464,Android,4G
544,465,iOS,4G
545,465,Android,4G
546,466,iOS,WiFi
547,467,Android,WiFi
548,468,Android,4G
549,469,Android,4G
550,470,Android,WiFi
551,471,Android,4G
552,472,Android,4G
553,472,Android,5G
554,473,Android,4G
555,474,Android,WiFi
556,475,Android,4G
557,475,Android,5G
558,476,Web,4G
559,476,Android,WiFi
560,477,Android,4G
561,478,Android,4G
562,479,Android,4G
563,480,iOS,5G
564,480,Android,WiFi
565,481,Android,4G
566,481,Android,4G
567,482,Android,5G
568,483,Android,4G
569,484,Android,5G
570,485,iOS,WiFi
571,486,Android,4G
572,487,Android,4G
573,488,Android,5G
574,489,iOS,WiFi
575,489,Android,5G
576,490,iOS,WiFi
577,491,iOS,4G
578,492,Android,5G
579,493,Android,5G
580,493,Android,4G
581,494,Android,WiFi
582,495,Android,WiFi
583,496,Android,4G
584,497,Android,4G
585,498,Android,5G
586,499,Android,4G
587,500,Android,4G
588,501,Android,4G
589,501,Android,WiFi
590,502,Android,4G
591,503,Android,5G
592,504,Android,4G
593,505,Android,4G
594,506,Android,5G
595,507,Android,5G
596,508,Android,5G
597,509,Android,WiFi
598,510,iOS,WiFi
599,511,Android,5G
600,512,iOS,4G
601,513,Android,WiFi
602,514,Android,5G
603,514,Android,4G
604,515,Android,WiFi
605,516,Android,4G
606,517,Android,4G
607,518,Android,5G
608,518,Android,WiFi
609,519,Android,5G
610,520,Android,4G
611,521,Android,4G
612,522,Android,5G
613,523,Android,WiFi
614,524,Web,5G
615,525,Android,4G
616,526,Android,5G
617,526,Android,3G
618,527,Android,5G
619,528,Android,4G
620,529,Android,5G
621,530,Android,4G
622,531,Android,WiFi
623,532,Android,4G
624,533,iOS,5G
625,533,Android,WiFi
626,534,Android,5G
627,535,Android,5G
628,536,Android,WiFi
629,537,iOS,4G
630,538,Android,4G
631,539,Android,5G
632,540,Android,4G
633,541,Android,4G
634,541,iOS,4G
635,542,Android,5G
636,543,Android,4G
637,544,iOS,4G
638,545,Android,4G
639,545,Android,WiFi
640,546,iOS,5G
641,547,Android,5G
642,548,Android,4G
643,549,Android,4G
644,550,Web,4G
645,550,Android,5G
646,551,Android,5G
647,551,iOS,5G
648,552,Android,5G
649,553,Android,5G
650,554,Android,4G
651,555,Android,4G
652,555,Android,5G
653,556,Android,4G
654,557,iOS,4G
655,557,iOS,4G
656,558,Android,WiFi
657,559,Android,5G
658,559,Android,WiFi
659,560,Android,WiFi
660,561,Android,5G
661,562,iOS,5G
662,563,Android,4G
663,564,Android,4G
664,565,Android,WiFi
665,566,iOS,4G
666,567,Android,5G
667,568,iOS,4G
668,569,Android,4G
669,569,Android,4G
670,570,Android,5G
671,571,Android,4G
672,572,Android,4G
673,573,Android,5G
674,574,iOS,4G
675,575,Android,4G
676,576,Android,WiFi
677,577,Android,5G
678,578,Android,4G
679,579,Android,5G
680,580,Android,WiFi
681,581,Android,5G
682,581,Android,5G
683,582,Android,4G
684,583,Android,5G
685,584,Android,5G
686,585,Android,4G
687,586,Android,4G
688,587,Android,4G
689,588,Android,5G
690,589,Android,4G
691,590,Android,4G
692,591,iOS,5G
693,591,Android,WiFi
694,592,Android,WiFi
695,593,iOS,4G
696,594,iOS,4G
697,595,iOS,5G
698,596,iOS,4G
699,597,Web,WiFi
700,598,Android,4G
701,598,Web,WiFi
702,599,Android,5G
703,600,Android,4G
704,601,Android,WiFi
705,601,Android,4G
706,602,Android,WiFi
707,603,Android,5G
708,604,Android,5G
709,605,iOS,4G
710,606,Android,4G
711,607,Android,4G
712,608,Android,5G
713,609,Android,4G
714,609,Android,WiFi
715,610,Android,5G
716,611,Android,4G
717,612,Android,4G
718,613,Android,4G
719,614,iOS,5G
720,615,Android,4G
721,616,Android,5G
722,617,Android,4G
723,618,Android,4G
724,619,Android,4G
725,619,iOS,4G
726,620,Android,4G
727,621,Web,4G
728,621,Android,5G
729,622,Android,5G
730,622,Android,4G
731,623,Android,4G
732,623,Android,4G
733,624,iOS,5G
734,625,iOS,WiFi
735,626,iOS,4G
736,627,Android,5G
737,628,Android,4G
738,629,Android,5G
739,630,Android,5G
740,631,Android,4G
741,632,Android,4G
742,633,Android,WiFi
743,634,Android,4G
744,635,Android,5G
745,636,iOS,5G
746,637,Android,WiFi
747,638,Android,4G
748,639,iOS,5G
749,640,iOS,4G
750,641,iOS,4G
751,642,Android,5G
752,643,iOS,5G
753,644,iOS,4G
754,645,iOS,4G
755,645,Android,5G
756,646,Android,WiFi
757,647,Android,5G
758,648,Android,4G
759,649,Android,5G
760,650,Android,4G
761,651,Android,4G
762,652,Android,4G
763,653,Android,5G
764,654,Android,4G
765,655,Android,5G
766,655,Android,5G
767,656,Android,4G
768,656,Android,4G
769,657,Android,4G
770,658,Web,4G
771,659,Android,4G
772,660,iOS,5G
773,661,Android,5G
774,661,Android,4G
775,662,Android,5G
776,663,iOS,4G
777,664,Android,WiFi
778,665,Android,5G
779,666,iOS,5G
780,666,Android,4G
781,667,Android,4G
782,668,iOS,3G
783,669,Android,WiFi
784,670,iOS,WiFi
785,671,Android,4G
786,672,Android,4G
787,673,Android,4G
788,673,Android,5G
789,674,Android,4G
790,675,Android,4G
791,676,Android,4G
792,677,Android,5G
793,678,Android,3G
794,679,Android,5G
795,680,Android,5G
796,681,Android,WiFi
797,681,Android,5G
798,682,iOS,5G
799,683,Android,4G
800,684,Android,4G
801,685,Android,4G
802,686,Android,4G
803,686,Android,4G
804,687,Android,5G
805,688,Android,4G
806,689,Android,WiFi
807,690,iOS,4G
808,690,Android,5G
809,691,Android,WiFi
810,691,iOS,5G
811,692,Android,4G
812,693,iOS,4G
813,694,iOS,4G
814,695,iOS,4G
815,696,iOS,WiFi
816,696,Android,5G
817,697,Android,4G
818,698,iOS,4G
819,699,iOS,5G
820,700,Android,4G
821,700,Android,4G
822,701,Android,4G
823,702,Android,5G
824,702,iOS,3G
825,703,iOS,4G
826,703,iOS,4G
827,704,Android,4G
828,705,Android,4G
829,706,iOS,WiFi
830,707,Android,WiFi
831,707,Android,4G
832,708,Android,4G
833,709,Android,WiFi
834,710,Android,WiFi
835,711,Android,WiFi
836,712,Android,4G
837,713,Android,4G
838,714,Android,WiFi
839,715,Android,4G
840,716,Android,4G
841,717,Android,5G
842,717,Android,5G
843,718,Android,WiFi
844,719,iOS,5G
845,720,Android,4G
846,721,Web,5G
847,721,Android,4G
848,722,Android,4G
849,722,iOS,WiFi
850,723,Android,5G
851,724,iOS,5G
852,725,Android,4G
853,726,Android,WiFi
854,727,Android,WiFi
855,728,Android,4G
856,729,Android,WiFi
857,730,Android,4G
858,731,Android,4G
859,732,Android,4G
860,733,Android,4G
861,734,Android,4G
862,735,iOS,4G
863,736,Android,4G
864,737,Android,WiFi
865,737,Android,4G
866,738,Android,4G
867,739,Android,4G
868,739,Android,4G
869,740,Android,4G
870,741,Android,WiFi
871,742,Android,WiFi
872,743,Android,4G
873,744,Android,3G
874,745,iOS,WiFi
875,746,Android,4G
876,747,Android,4G
877,748,Android,WiFi
878,749,iOS,5G
879,750,Android,4G
880,751,Android,5G
881,752,Android,WiFi
882,752,Android,5G
883,753,iOS,5G
884,754,Android,4G
885,755,Android,5G
886,755,Android,4G
887,756,Android,4G
888,756,Android,WiFi
889,757,iOS,4G
890,758,Android,5G
891,759,Android,4G
892,760,Android,4G
893,761,Android,4G
894,761,Android,WiFi
895,762,iOS,3G
896,763,Android,4G
897,764,Android,4G
898,764,iOS,4G
899,765,Android,5G
900,766,Android,4G
901,767,Android,4G
902,768,Android,3G
903,768,Android,4G
904,769,Android,4G
905,770,Android,4G
906,771,iOS,4G
907,772,Android,4G
908,773,Android,WiFi
909,774,Android,4G
910,775,iOS,WiFi
911,776,Android,4G
912,777,Android,5G
913,778,Android,5G
914,779,iOS,WiFi
915,780,iOS,5G
916,781,Android,5G
917,781,Android,4G
918,782,iOS,4G
919,783,Android,4G
920,784,Android,WiFi
921,785,Android,5G
922,786,Android,WiFi
923,787,Android,5G
924,788,Android,5G
925,788,Android,4G
926,789,Android,5G
927,790,Android,5G
928,791,Android,WiFi
929,791,Android,WiFi
930,792,Android,5G
931,793,Android,4G
932,794,Android,4G
933,795,Android,5G
934,796,Android,5G
935,796,Android,5G
936,797,Android,4G
937,798,Android,WiFi
938,799,iOS,5G
939,800,Android,WiFi
940,801,Android,WiFi
941,802,Android,4G
942,803,Android,5G
943,804,Android,4G
944,805,Android,4G
945,806,iOS,5G
946,807,iOS,4G
947,808,Android,5G
948,809,Android,3G
949,810,Android,5G
950,811,Android,3G
951,812,iOS,4G
952,813,Android,4G
953,814,iOS,5G
954,815,Android,5G
955,816,Android,4G
956,817,Android,4G
957,817,Android,WiFi
958,818,Android,5G
959,819,Android,4G
960,819,Android,4G
961,820,Android,4G
962,821,Android,4G
963,822,Android,3G
964,822,iOS,4G
965,823,Android,5G
966,823,iOS,4G
967,824,iOS,4G
968,825,Android,WiFi
969,826,Android,4G
970,827,iOS,5G
971,828,iOS,5G
972,829,Android,4G
973,829,Android,4G
974,830,Android,5G
975,831,Android,5G
976,832,Android,5G
977,833,Android,WiFi
978,833,Android,4G
979,834,Android,4G
980,835,Android,WiFi
981,836,Android,5G
982,837,Android,5G
983,838,Android,4G
984,839,Android,4G
985,840,Android,WiFi
986,841,Web,4G
987,842,Android,WiFi
988,842,Android,5G
989,843,Android,4G
990,844,iOS,4G
991,845,Android,5G
992,846,Android,4G
993,847,Android,4G
994,847,Android,4G
995,848,Android,5G
996,848,Android,5G
997,849,Web,5G
998,849,iOS,4G
999,850,Android,5G
1000,851,Android,WiFi
1001,852,Android,WiFi
1002,853,Android,4G
1003,854,iOS,WiFi
1004,855,Android,4G
1005,856,Android,WiFi
1006,857,Android,4G
1007,858,Android,4G
1008,859,Android,5G
1009,860,Android,WiFi
1010,861,Android,5G
1011,862,Android,WiFi
1012,862,Android,4G
1013,863,Android,4G
1014,864,Android,5G
1015,864,Android,4G
1016,865,Web,WiFi
1017,866,Android,5G
1018,867,Android,4G
1019,868,Android,4G
1020,869,Android,WiFi
1021,870,Android,WiFi
1022,871,Android,5G
1023,872,iOS,4G
1024,873,Android,5G
1025,874,iOS,WiFi
1026,875,iOS,4G
1027,876,iOS,WiFi
1028,877,Android,4G
1029,878,Android,4G
1030,879,Android,5G
1031,880,Android,4G
1032,881,Android,WiFi
1033,882,iOS,4G
1034,883,iOS,4G
1035,884,Android,WiFi
1036,885,Android,WiFi
1037,886,Android,5G
1038,887,Android,3G
1039,888,Android,5G
1040,888,Android,WiFi
1041,889,Android,4G
1042,890,Android,4G
1043,891,Android,WiFi
1044,892,iOS,WiFi
1045,893,Android,5G
1046,894,Android,4G
1047,895,Android,4G
1048,896,Android,4G
1049,897,Android,4G
1050,898,Android,5G
1051,899,Android,4G
1052,900,iOS,4G
1053,900,Android,5G
1054,901,Android,5G
1055,902,iOS,5G
1056,903,Android,WiFi
1057,904,Android,4G
1058,905,Android,5G
1059,906,Android,4G
1060,907,Android,5G
1061,908,Android,WiFi
1062,908,Android,5G
1063,909,iOS,4G
1064,910,Android,WiFi
1065,910,Android,4G
1066,911,Android,5G
1067,911,Android,WiFi
1068,912,Android,4G
1069,913,Android,4G
1070,914,iOS,WiFi
1071,914,Android,4G
1072,915,Android,5G
1073,916,Android,4G
1074,917,Android,WiFi
1075,918,iOS,3G
1076,919,Android,WiFi
1077,920,Android,4G
1078,921,Android,4G
1079,922,Android,5G
1080,923,iOS,4G
1081,924,Android,5G
1082,925,iOS,4G
1083,926,Android,4G
1084,927,iOS,5G
1085,928,Android,4G
1086,929,iOS,4G
1087,930,Android,4G
1088,930,Android,4G
1089,931,Android,WiFi
1090,932,Android,5G
1091,933,Android,4G
1092,934,Android,4G
1093,935,Android,4G
1094,936,iOS,5G
1095,937,Android,5G
1096,937,Android,4G
1097,938,Android,4G
1098,939,iOS,5G
1099,940,Web,WiFi
1100,941,Android,5G
1101,942,Android,WiFi
1102,943,Android,WiFi
1103,944,iOS,5G
1104,945,Android,4G
1105,946,Android,WiFi
1106,947,iOS,4G
1107,948,Android,5G
1108,949,Android,5G
1109,949,Android,5G
1110,950,Android,WiFi
1111,951,Android,4G
1112,952,Android,WiFi
1113,952,Android,5G
1114,953,iOS,5G
1115,953,Android,WiFi
1116,954,Web,5G
1117,955,Android,4G
1118,956,Android,WiFi
1119,957,Android,3G
1120,958,Android,5G
1121,959,Android,WiFi
1122,960,Android,4G
1123,961,Android,4G
1124,962,Android,4G
1125,962,Android,4G
1126,963,Web,4G
1127,964,Android,4G
1128,964,Android,4G
1129,965,iOS,4G
1130,966,iOS,5G
1131,967,Android,4G
1132,968,Android,4G
1133,969,Android,WiFi
1134,970,Android,4G
1135,971,Web,4G
1136,972,Android,3G
1137,973,Android,WiFi
1138,974,Android,3G
1139,975,iOS,4G
1140,976,Android,5G
1141,977,Android,WiFi
1142,978,Android,4G
1143,979,Android,5G
1144,980,Android,5G
1145,980,Android,4G
1146,981,Android,5G
1147,981,Web,4G
1148,982,Android,4G
1149,982,iOS,5G
1150,983,Android,5G
1151,984,iOS,WiFi
1152,985,Android,4G
1153,986,Android,4G
1154,987,Android,5G
1155,987,Android,4G
1156,988,Android,4G
1157,989,Android,WiFi
1158,989,Android,WiFi
1159,990,Android,WiFi
1160,991,Android,WiFi
1161,992,Android,WiFi
1162,993,Android,5G
1163,993,iOS,5G
1164,994,Android,4G
1165,995,Android,WiFi
1166,996,Android,5G
1167,996,Android,4G
1168,997,Android,4G
1169,998,Android,4G
1170,999,Android,4G
1171,1000,iOS,5G
1172,1001,iOS,4G
1173,1002,Android,5G
1174,1003,Android,5G
1175,1004,Android,5G
1176,1005,iOS,WiFi
1177,1006,Android,WiFi
1178,1007,Android,WiFi
1179,1008,Android,3G
1180,1008,Android,4G
1181,1009,iOS,4G
1182,1010,Android,WiFi
1183,1011,iOS,5G
1184,1012,Android,4G
1185,1013,Android,5G
1186,1014,Android,4G
1187,1015,Android,WiFi
1188,1016,Android,4G
1189,1016,Android,5G
1190,1017,Android,5G
1191,1018,Android,WiFi
1192,1018,Android,5G
1193,1019,Android,4G
1194,1020,Android,5G
1195,1021,Android,4G
1196,1022,Android,WiFi
1197,1023,Android,4G
1198,1024,Android,5G
1199,1025,Android,WiFi
1200,1026,Android,3G
1201,1027,Android,WiFi
1202,1028,Android,5G
1203,1029,Android,4G
1204,1030,Web,WiFi
1205,1031,Android,5G
1206,1032,Android,5G
1207,1033,Android,4G
1208,1034,Android,4G
1209,1034,Android,WiFi
1210,1035,Android,5G
1211,1035,Web,WiFi
1212,1036,Android,4G
1213,1037,Android,4G
1214,1038,Android,WiFi
1215,1039,Android,5G
1216,1040,Android,WiFi
1217,1040,Android,4G
1218,1041,Android,5G
1219,1042,Android,3G
1220,1043,iOS,WiFi
1221,1044,iOS,4G
1222,1045,iOS,4G
1223,1045,Android,5G
1224,1046,iOS,4G
1225,1047,Android,4G
1226,1047,Android,5G
1227,1048,Android,WiFi
1228,1048,Android,WiFi
1229,1049,Android,4G
1230,1050,Android,3G
1231,1051,Android,4G
1232,1052,Android,5G
1233,1052,iOS,3G
1234,1053,Android,4G
1235,1054,Android,5G
1236,1055,Android,4G
1237,1056,iOS,5G
1238,1057,iOS,4G
1239,1058,Android,4G
1240,1059,Android,4G
1241,1060,Android,5G
1242,1061,Android,5G
1243,1062,Android,4G
1244,1063,Web,WiFi
1245,1063,Android,5G
1246,1064,Android,4G
1247,1065,Android,4G
1248,1065,Web,4G
1249,1066,Android,4G
1250,1067,Android,WiFi
1251,1068,Android,WiFi
1252,1069,iOS,3G
1253,1070,Android,3G
1254,1071,iOS,WiFi
1255,1072,Android,5G
1256,1073,Android,4G
1257,1074,Android,5G
1258,1075,Android,WiFi
1259,1076,iOS,WiFi
1260,1076,Android,3G
1261,1077,Android,4G
1262,1078,Android,5G
1263,1078,Android,3G
1264,1079,Android,WiFi
1265,1080,Android,5G
1266,1081,Android,5G
1267,1082,Android,4G
1268,1083,Android,4G
1269,1084,iOS,5G
1270,1085,iOS,4G
1271,1086,Android,3G
1272,1087,Android,WiFi
1273,1087,Android,5G
1274,1088,Android,5G
1275,1088,Android,4G
1276,1089,Web,5G
1277,1089,Android,4G
1278,1090,Android,5G
1279,1091,Android,WiFi
1280,1092,iOS,5G
