user_id,signup_date,city,state,acquisition_channel,age_bucket,kyc_status,is_churned
41,2024-04-30,Chennai,Tamil Nadu,Organic,18-24,Full KYC,False
42,2025-07-07,Nagpur,Maharashtra,Bank Partnership,25-34,Full KYC,False
43,2025-05-26,Delhi,Delhi,Referral,25-34,Min KYC,True
44,2024-09-15,Bhopal,Madhya Pradesh,Merchant Partner,18-24,Full KYC,False
45,2024-02-19,Pune,Maharashtra,Organic,25-34,Full KYC,False
46,2025-12-09,Patna,Bihar,Organic,35-44,Min KYC,False
47,2024-11-21,Patna,Bihar,Merchant Partner,25-34,Full KYC,False
48,2025-10-13,Patna,Bihar,Referral,18-24,Full KYC,False
49,2025-05-09,Hyderabad,Telangana,Organic,18-24,Full KYC,True
50,2025-07-22,Hyderabad,Telangana,Paid Ad,25-34,Full KYC,False
51,2025-07-08,Delhi,Delhi,Organic,18-24,Full KYC,False
52,2024-05-22,Delhi,Delhi,Referral,25-34,Full KYC,False
53,2024-09-22,Ahmedabad,Gujarat,Merchant Partner,25-34,Full KYC,False
54,2024-12-06,Coimbatore,Tamil Nadu,Paid Ad,25-34,Full KYC,False
55,2024-12-29,Kolkata,West Bengal,Referral,25-34,Min KYC,False
56,2024-02-01,Hyderabad,Telangana,Organic,35-44,Min KYC,False
57,2025-02-02,Bengaluru,Karnataka,Organic,25-34,Min KYC,True
58,2024-04-22,Ahmedabad,Gujarat,Organic,35-44,Full KYC,False
59,2025-06-26,Delhi,Delhi,Merchant Partner,35-44,Full KYC,False
60,2025-05-13,Mumbai,Maharashtra,Organic,25-34,Full KYC,False
61,2025-11-04,Mumbai,Maharashtra,Merchant Partner,25-34,Full KYC,False
62,2025-06-27,Patna,Bihar,Referral,35-44,Full KYC,False
63,2024-09-24,Hyderabad,Telangana,Bank Partnership,25-34,Full KYC,False
64,2025-12-07,Chandigarh,Punjab,Organic,18-24,Full KYC,False
65,2024-10-26,Chennai,Tamil Nadu,Merchant Partner,18-24,Min KYC,False
66,2024-08-25,Jaipur,Rajasthan,Merchant Partner,25-34,Full KYC,False
67,2025-10-23,Indore,Madhya Pradesh,Referral,55+,Full KYC,False
68,2024-09-27,Kochi,Kerala,Bank Partnership,25-34,Full KYC,False
69,2024-02-25,Delhi,Delhi,Organic,25-34,Pending,False
70,2024-12-08,Delhi,Delhi,Organic,35-44,Pending,False
71,2025-08-03,Delhi,Delhi,Bank Partnership,18-24,Pending,False
72,2024-05-18,Pune,Maharashtra,Organic,45-54,Pending,False
73,2024-12-03,Delhi,Delhi,Organic,55+,Full KYC,False
74,2024-04-04,Ahmedabad,Gujarat,Referral,35-44,Full KYC,False
75,2025-05-16,Hyderabad,Telangana,Bank Partnership,18-24,Full KYC,False
76,2024-12-13,Coimbatore,Tamil Nadu,Merchant Partner,45-54,Min KYC,False
77,2024-08-29,Indore,Madhya Pradesh,Organic,18-24,Full KYC,False
78,2024-06-14,Lucknow,Uttar Pradesh,Referral,18-24,Full KYC,False
79,2025-02-16,Jaipur,Rajasthan,Referral,35-44,Full KYC,False
80,2025-05-03,Mumbai,Maharashtra,Merchant Partner,35-44,Full KYC,False
81,2025-11-17,Mumbai,Maharashtra,Organic,25-34,Min KYC,True
82,2024-11-15,Pune,Maharashtra,Organic,35-44,Min KYC,True
83,2024-04-27,Nagpur,Maharashtra,Paid Ad,45-54,Min KYC,False
84,2025-08-30,Mumbai,Maharashtra,Organic,45-54,Min KYC,False
85,2025-04-04,Pune,Maharashtra,Referral,25-34,Full KYC,False
86,2025-05-26,Bhopal,Madhya Pradesh,Paid Ad,25-34,Min KYC,False
87,2024-03-11,Bengaluru,Karnataka,Paid Ad,55+,Min KYC,True
88,2024-08-16,Chandigarh,Punjab,Referral,25-34,Full KYC,False
89,2025-07-14,Chandigarh,Punjab,Merchant Partner,45-54,Full KYC,False
90,2025-08-30,Mumbai,Maharashtra,Paid Ad,18-24,Pending,False
91,2024-11-13,Ahmedabad,Gujarat,Merchant Partner,18-24,Full KYC,False
92,2025-08-10,Delhi,Delhi,Paid Ad,18-24,Full KYC,False
93,2025-09-06,Pune,Maharashtra,Referral,25-34,Min KYC,False
94,2024-10-09,Kochi,Kerala,Paid Ad,45-54,Full KYC,False
95,2025-10-17,Mumbai,Maharashtra,Referral,18-24,Min KYC,False
96,2024-07-29,Chandigarh,Punjab,Organic,45-54,Full KYC,False
97,2024-06-23,Ranchi,Jharkhand,Referral,35-44,Full KYC,False
98,2025-05-13,Jaipur,Rajasthan,Bank Partnership,25-34,Min KYC,False
99,2025-04-09,Hyderabad,Telangana,Paid Ad,25-34,Full KYC,False
100,2024-04-12,Bengaluru,Karnataka,Paid Ad,35-44,Full KYC,False
101,2025-08-30,Pune,Maharashtra,Paid Ad,25-34,Full KYC,False
102,2024-05-25,Delhi,Delhi,Referral,35-44,Min KYC,False
103,2025-08-10,Mumbai,Maharashtra,Referral,18-24,Full KYC,False
104,2024-01-06,Mumbai,Maharashtra,Organic,18-24,Full KYC,True
105,2025-08-04,Jaipur,Rajasthan,Organic,35-44,Full KYC,False
106,2025-07-28,Mumbai,Maharashtra,Merchant Partner,25-34,Full KYC,False
107,2025-07-23,Bengaluru,Karnataka,Organic,18-24,Full KYC,False
108,2025-04-30,Jaipur,Rajasthan,Paid Ad,35-44,Min KYC,False
109,2024-12-10,Delhi,Delhi,Referral,35-44,Min KYC,False
110,2025-05-29,Bengaluru,Karnataka,Organic,35-44,Pending,False
111,2024-07-21,Mumbai,Maharashtra,Organic,25-34,Full KYC,False
112,2025-07-23,Mumbai,Maharashtra,Bank Partnership,35-44,Min KYC,False
113,2025-02-09,Delhi,Delhi,Referral,25-34,Full KYC,True
114,2024-12-01,Delhi,Delhi,Organic,35-44,Full KYC,False
115,2025-01-04,Pune,Maharashtra,Organic,25-34,Full KYC,True
116,2025-02-19,Delhi,Delhi,Organic,35-44,Full KYC,False
117,2024-01-28,Bengaluru,Karnataka,Paid Ad,55+,Full KYC,False
118,2024-04-12,Lucknow,Uttar Pradesh,Merchant Partner,35-44,Full KYC,False
119,2024-06-28,Ahmedabad,Gujarat,Organic,35-44,Full KYC,False
120,2024-03-24,Hyderabad,Telangana,Referral,18-24,Full KYC,False
121,2024-11-16,Chandigarh,Punjab,Paid Ad,18-24,Min KYC,False
122,2025-05-02,Bhopal,Madhya Pradesh,Organic,18-24,Full KYC,False
123,2025-04-22,Kolkata,West Bengal,Referral,25-34,Full KYC,False
124,2024-12-09,Pune,Maharashtra,Referral,25-34,Full KYC,False
125,2025-09-16,Mumbai,Maharashtra,Paid Ad,18-24,Full KYC,False
126,2025-02-16,Hyderabad,Telangana,Bank Partnership,25-34,Full KYC,False
127,2024-02-27,Chennai,Tamil Nadu,Referral,55+,Full KYC,False
128,2025-07-12,Ranchi,Jharkhand,Organic,25-34,Pending,False
129,2025-02-23,Coimbatore,Tamil Nadu,Paid Ad,25-34,Full KYC,False
130,2025-04-08,Mumbai,Maharashtra,Organic,55+,Min KYC,False
131,2025-02-16,Guwahati,Assam,Organic,18-24,Full KYC,False
132,2025-02-08,Surat,Gujarat,Referral,25-34,Full KYC,False
133,2024-03-07,Jaipur,Rajasthan,Organic,35-44,Full KYC,False
134,2025-02-12,Nagpur,Maharashtra,Referral,35-44,Min KYC,False
135,2025-08-03,Bengaluru,Karnataka,Organic,45-54,Full KYC,True
136,2024-08-09,Hyderabad,Telangana,Merchant Partner,35-44,Full KYC,False
137,2025-03-16,Kochi,Kerala,Organic,18-24,Min KYC,True
138,2024-01-23,Mumbai,Maharashtra,Paid Ad,18-24,Min KYC,False
139,2024-09-10,Lucknow,Uttar Pradesh,Paid Ad,25-34,Full KYC,False
140,2024-11-14,Indore,Madhya Pradesh,Bank Partnership,18-24,Min KYC,False
141,2025-12-18,Kochi,Kerala,Referral,18-24,Min KYC,False
142,2024-06-05,Delhi,Delhi,Merchant Partner,35-44,Full KYC,False
143,2024-07-20,Jaipur,Rajasthan,Referral,35-44,Full KYC,False
144,2024-10-25,Mumbai,Maharashtra,Organic,18-24,Min KYC,False
145,2025-12-25,Patna,Bihar,Referral,25-34,Min KYC,False
146,2025-09-14,Pune,Maharashtra,Paid Ad,55+,Full KYC,False
147,2024-01-26,Ahmedabad,Gujarat,Organic,35-44,Full KYC,True
148,2024-06-19,Patna,Bihar,Organic,35-44,Full KYC,False
149,2025-08-22,Chennai,Tamil Nadu,Organic,35-44,Full KYC,False
150,2024-02-12,Chennai,Tamil Nadu,Referral,25-34,Full KYC,False
151,2025-09-16,Pune,Maharashtra,Organic,35-44,Pending,True
152,2024-07-24,Kolkata,West Bengal,Merchant Partner,18-24,Min KYC,False
153,2025-10-31,Lucknow,Uttar Pradesh,Paid Ad,35-44,Pending,True
154,2024-08-02,Bhopal,Madhya Pradesh,Bank Partnership,25-34,Full KYC,False
155,2024-11-13,Mumbai,Maharashtra,Bank Partnership,45-54,Full KYC,False
156,2025-04-28,Hyderabad,Telangana,Organic,35-44,Full KYC,False
157,2024-04-02,Pune,Maharashtra,Organic,25-34,Min KYC,False
158,2025-02-10,Mumbai,Maharashtra,Organic,35-44,Full KYC,False
159,2025-01-03,Surat,Gujarat,Merchant Partner,25-34,Full KYC,False
160,2025-07-26,Chennai,Tamil Nadu,Organic,35-44,Full KYC,False
161,2025-12-28,Mumbai,Maharashtra,Referral,18-24,Full KYC,False
162,2025-04-29,Ahmedabad,Gujarat,Organic,25-34,Full KYC,False
163,2024-10-25,Hyderabad,Telangana,Referral,25-34,Full KYC,False
164,2024-10-23,Lucknow,Uttar Pradesh,Organic,18-24,Min KYC,False
165,2024-11-01,Delhi,Delhi,Paid Ad,25-34,Full KYC,False
166,2025-08-17,Mumbai,Maharashtra,Referral,45-54,Full KYC,False
167,2024-08-22,Mumbai,Maharashtra,Bank Partnership,18-24,Full KYC,True
168,2024-05-01,Pune,Maharashtra,Bank Partnership,25-34,Full KYC,False
169,2024-09-01,Surat,Gujarat,Merchant Partner,35-44,Full KYC,False
170,2024-01-17,Kolkata,West Bengal,Organic,18-24,Full KYC,False
171,2024-03-18,Mumbai,Maharashtra,Organic,18-24,Full KYC,False
172,2024-03-06,Kolkata,West Bengal,Organic,25-34,Full KYC,False
173,2025-07-17,Pune,Maharashtra,Paid Ad,55+,Full KYC,True
174,2025-06-11,Bhopal,Madhya Pradesh,Organic,35-44,Min KYC,False
175,2025-05-23,Bengaluru,Karnataka,Organic,45-54,Min KYC,False
176,2024-12-03,Lucknow,Uttar Pradesh,Organic,45-54,Full KYC,False
177,2025-06-07,Ahmedabad,Gujarat,Organic,25-34,Full KYC,True
178,2024-04-27,Ahmedabad,Gujarat,Referral,18-24,Min KYC,False
179,2025-10-19,Hyderabad,Telangana,Referral,18-24,Full KYC,False
180,2024-12-31,Mumbai,Maharashtra,Organic,35-44,Min KYC,False
181,2025-11-15,Delhi,Delhi,Bank Partnership,35-44,Full KYC,False
182,2024-04-21,Patna,Bihar,Paid Ad,25-34,Min KYC,False
183,2024-12-29,Ahmedabad,Gujarat,Organic,35-44,Min KYC,True
184,2025-05-23,Kolkata,West Bengal,Merchant Partner,25-34,Full KYC,True
185,2024-12-27,Chennai,Tamil Nadu,Referral,25-34,Full KYC,True
186,2024-11-21,Mumbai,Maharashtra,Referral,25-34,Full KYC,False
187,2024-05-01,Hyderabad,Telangana,Merchant Partner,35-44,Full KYC,False
188,2024-10-05,Ahmedabad,Gujarat,Referral,35-44,Full KYC,False
189,2024-06-23,Delhi,Delhi,Merchant Partner,45-54,Min KYC,True
190,2024-08-08,Chandigarh,Punjab,Organic,25-34,Full KYC,False
191,2025-05-14,Mumbai,Maharashtra,Organic,25-34,Full KYC,False
192,2025-04-05,Jaipur,Rajasthan,Referral,25-34,Full KYC,False
193,2025-03-19,Bengaluru,Karnataka,Merchant Partner,25-34,Full KYC,False
194,2024-09-21,Patna,Bihar,Paid Ad,18-24,Full KYC,False
195,2025-12-01,Indore,Madhya Pradesh,Bank Partnership,45-54,Full KYC,False
196,2024-03-04,Bengaluru,Karnataka,Organic,25-34,Min KYC,False
197,2024-09-07,Pune,Maharashtra,Bank Partnership,25-34,Full KYC,False
198,2024-03-27,Coimbatore,Tamil Nadu,Organic,25-34,Full KYC,False
199,2024-09-04,Kolkata,West Bengal,Organic,25-34,Full KYC,False
200,2025-12-03,Mumbai,Maharashtra,Referral,35-44,Full KYC,False
201,2024-09-24,Bhopal,Madhya Pradesh,Organic,45-54,Full KYC,False
202,2025-10-25,Hyderabad,Telangana,Organic,25-34,Min KYC,False
203,2024-12-27,Bengaluru,Karnataka,Paid Ad,35-44,Min KYC,False
204,2025-05-25,Indore,Madhya Pradesh,Referral,25-34,Full KYC,False
205,2024-11-29,Guwahati,Assam,Bank Partnership,25-34,Pending,False
206,2024-07-13,Mumbai,Maharashtra,Bank Partnership,45-54,Full KYC,False
207,2025-07-11,Hyderabad,Telangana,Bank Partnership,18-24,Full KYC,False
208,2025-12-08,Bengaluru,Karnataka,Referral,25-34,Min KYC,True
209,2024-07-11,Kochi,Kerala,Organic,45-54,Full KYC,False
210,2025-07-22,Patna,Bihar,Bank Partnership,35-44,Full KYC,False
211,2024-07-09,Nagpur,Maharashtra,Referral,18-24,Full KYC,False
212,2025-06-07,Mumbai,Maharashtra,Referral,18-24,Full KYC,False
213,2025-07-29,Mumbai,Maharashtra,Paid Ad,45-54,Min KYC,False
214,2024-11-24,Chennai,Tamil Nadu,Paid Ad,25-34,Full KYC,False
215,2025-06-21,Delhi,Delhi,Organic,25-34,Full KYC,True
216,2024-07-17,Mumbai,Maharashtra,Organic,18-24,Full KYC,False
217,2024-02-27,Bengaluru,Karnataka,Organic,25-34,Pending,False
218,2024-03-11,Lucknow,Uttar Pradesh,Organic,25-34,Full KYC,False
219,2024-11-22,Jaipur,Rajasthan,Organic,35-44,Full KYC,False
220,2025-10-20,Bhopal,Madhya Pradesh,Bank Partnership,18-24,Full KYC,False
221,2024-04-03,Mumbai,Maharashtra,Merchant Partner,35-44,Full KYC,False
222,2024-11-28,Surat,Gujarat,Organic,55+,Min KYC,True
223,2025-05-28,Chennai,Tamil Nadu,Organic,25-34,Full KYC,True
224,2024-05-27,Bengaluru,Karnataka,Bank Partnership,35-44,Min KYC,False
225,2025-06-10,Ahmedabad,Gujarat,Paid Ad,18-24,Full KYC,True
226,2024-08-11,Bhopal,Madhya Pradesh,Referral,25-34,Full KYC,True
227,2025-08-13,Mumbai,Maharashtra,Bank Partnership,25-34,Full KYC,False
228,2025-02-26,Bhopal,Madhya Pradesh,Bank Partnership,35-44,Min KYC,False
229,2025-02-03,Kolkata,West Bengal,Organic,55+,Min KYC,False
230,2024-05-09,Ahmedabad,Gujarat,Paid Ad,35-44,Full KYC,False
231,2024-12-04,Kochi,Kerala,Paid Ad,18-24,Full KYC,False
232,2025-09-17,Lucknow,Uttar Pradesh,Merchant Partner,35-44,Full KYC,True
233,2024-01-15,Kolkata,West Bengal,Referral,18-24,Full KYC,False
234,2025-07-07,Bengaluru,Karnataka,Paid Ad,35-44,Min KYC,False
235,2024-12-25,Chennai,Tamil Nadu,Referral,18-24,Min KYC,False
236,2025-06-09,Indore,Madhya Pradesh,Referral,45-54,Full KYC,False
237,2025-04-29,Ranchi,Jharkhand,Referral,45-54,Full KYC,False
238,2024-11-11,Surat,Gujarat,Organic,35-44,Full KYC,False
239,2024-08-13,Bhopal,Madhya Pradesh,Merchant Partner,25-34,Full KYC,False
240,2025-04-02,Jaipur,Rajasthan,Referral,18-24,Full KYC,False
241,2024-04-12,Surat,Gujarat,Merchant Partner,25-34,Full KYC,False
242,2025-03-02,Bengaluru,Karnataka,Merchant Partner,25-34,Full KYC,True
243,2024-03-10,Pune,Maharashtra,Referral,25-34,Full KYC,False
244,2025-04-19,Kolkata,West Bengal,Paid Ad,18-24,Full KYC,False
245,2025-04-03,Chennai,Tamil Nadu,Merchant Partner,35-44,Full KYC,False
246,2024-03-02,Kolkata,West Bengal,Organic,25-34,Full KYC,True
247,2025-07-06,Guwahati,Assam,Paid Ad,25-34,Full KYC,False
248,2024-10-30,Patna,Bihar,Bank Partnership,35-44,Full KYC,False
249,2025-07-28,Indore,Madhya Pradesh,Organic,18-24,Pending,False
250,2024-01-31,Indore,Madhya Pradesh,Referral,35-44,Full KYC,False
251,2024-05-11,Bhopal,Madhya Pradesh,Organic,25-34,Full KYC,False
252,2024-12-26,Jaipur,Rajasthan,Referral,25-34,Full KYC,True
253,2024-05-17,Bengaluru,Karnataka,Merchant Partner,35-44,Min KYC,False
254,2024-08-28,Patna,Bihar,Organic,25-34,Full KYC,True
255,2025-04-27,Bengaluru,Karnataka,Organic,18-24,Pending,False
256,2024-04-15,Lucknow,Uttar Pradesh,Organic,25-34,Full KYC,False
257,2025-05-09,Mumbai,Maharashtra,Merchant Partner,18-24,Full KYC,False
258,2024-03-16,Chennai,Tamil Nadu,Organic,18-24,Full KYC,False
259,2024-05-07,Bengaluru,Karnataka,Paid Ad,35-44,Full KYC,False
260,2025-03-04,Lucknow,Uttar Pradesh,Paid Ad,35-44,Full KYC,False
261,2025-08-02,Patna,Bihar,Paid Ad,18-24,Full KYC,False
262,2024-05-04,Mumbai,Maharashtra,Bank Partnership,25-34,Pending,False
263,2024-08-06,Mumbai,Maharashtra,Merchant Partner,45-54,Full KYC,False
264,2025-11-06,Chandigarh,Punjab,Organic,45-54,Full KYC,False
265,2025-12-23,Bengaluru,Karnataka,Merchant Partner,25-34,Full KYC,False
266,2025-02-28,Lucknow,Uttar Pradesh,Referral,45-54,Full KYC,True
267,2024-11-22,Indore,Madhya Pradesh,Bank Partnership,45-54,Full KYC,True
268,2024-09-10,Surat,Gujarat,Bank Partnership,18-24,Min KYC,False
269,2025-03-23,Mumbai,Maharashtra,Organic,25-34,Full KYC,False
270,2025-03-07,Lucknow,Uttar Pradesh,Organic,25-34,Full KYC,True
271,2024-08-03,Coimbatore,Tamil Nadu,Paid Ad,18-24,Full KYC,False
272,2024-01-17,Hyderabad,Telangana,Organic,25-34,Full KYC,False
273,2024-04-20,Lucknow,Uttar Pradesh,Referral,35-44,Min KYC,False
274,2025-11-30,Bengaluru,Karnataka,Bank Partnership,18-24,Full KYC,True
275,2024-11-01,Ranchi,Jharkhand,Referral,35-44,Min KYC,False
276,2024-12-18,Delhi,Delhi,Organic,18-24,Min KYC,True
277,2024-12-06,Bengaluru,Karnataka,Organic,25-34,Full KYC,False
278,2025-07-25,Delhi,Delhi,Merchant Partner,18-24,Min KYC,True
279,2024-02-17,Coimbatore,Tamil Nadu,Bank Partnership,18-24,Full KYC,False
280,2024-03-01,Kolkata,West Bengal,Bank Partnership,35-44,Full KYC,False
281,2024-07-20,Bengaluru,Karnataka,Organic,18-24,Min KYC,True
282,2024-12-21,Delhi,Delhi,Organic,55+,Min KYC,False
283,2025-05-04,Kochi,Kerala,Bank Partnership,45-54,Pending,False
284,2024-12-24,Mumbai,Maharashtra,Bank Partnership,18-24,Full KYC,False
285,2024-11-18,Ahmedabad,Gujarat,Organic,45-54,Full KYC,False
286,2025-11-15,Kolkata,West Bengal,Organic,35-44,Pending,False
287,2024-04-27,Surat,Gujarat,Paid Ad,25-34,Full KYC,False
288,2025-02-21,Jaipur,Rajasthan,Organic,25-34,Pending,False
289,2025-01-30,Indore,Madhya Pradesh,Paid Ad,25-34,Full KYC,False
290,2024-12-11,Mumbai,Maharashtra,Organic,45-54,Min KYC,False
291,2025-08-12,Pune,Maharashtra,Merchant Partner,18-24,Full KYC,False
292,2024-07-13,Mumbai,Maharashtra,Organic,45-54,Full KYC,True
293,2025-11-27,Hyderabad,Telangana,Organic,35-44,Full KYC,False
294,2024-08-30,Kolkata,West Bengal,Organic,18-24,Min KYC,True
295,2025-02-01,Kolkata,West Bengal,Organic,25-34,Full KYC,False
296,2025-01-15,Chandigarh,Punjab,Paid Ad,18-24,Full KYC,False
297,2025-09-12,Chandigarh,Punjab,Organic,35-44,Full KYC,False
298,2024-11-16,Bengaluru,Karnataka,Organic,18-24,Full KYC,True
299,2024-07-26,Jaipur,Rajasthan,Merchant Partner,25-34,Pending,False
300,2024-01-16,Lucknow,Uttar Pradesh,Referral,18-24,Full KYC,False
301,2024-09-22,Coimbatore,Tamil Nadu,Paid Ad,55+,Full KYC,False
302,2025-08-26,Mumbai,Maharashtra,Organic,25-34,Min KYC,False
303,2024-01-08,Ahmedabad,Gujarat,Bank Partnership,25-34,Full KYC,True
304,2025-10-16,Hyderabad,Telangana,Bank Partnership,25-34,Full KYC,True
305,2025-01-31,Hyderabad,Telangana,Referral,25-34,Full KYC,False
306,2024-04-12,Ahmedabad,Gujarat,Merchant Partner,18-24,Full KYC,False
307,2024-08-08,Bengaluru,Karnataka,Merchant Partner,35-44,Full KYC,False
308,2025-02-08,Mumbai,Maharashtra,Bank Partnership,18-24,Min KYC,False
309,2024-08-18,Bhopal,Madhya Pradesh,Merchant Partner,55+,Min KYC,False
310,2024-03-20,Mumbai,Maharashtra,Referral,35-44,Full KYC,False
311,2025-05-01,Bengaluru,Karnataka,Referral,45-54,Pending,False
312,2025-05-05,Kolkata,West Bengal,Bank Partnership,18-24,Full KYC,False
313,2024-03-27,Ahmedabad,Gujarat,Referral,25-34,Full KYC,True
314,2024-07-24,Jaipur,Rajasthan,Referral,25-34,Full KYC,False
315,2024-06-27,Ranchi,Jharkhand,Organic,35-44,Full KYC,False
316,2025-04-26,Hyderabad,Telangana,Organic,35-44,Full KYC,False
317,2025-06-17,Delhi,Delhi,Organic,18-24,Full KYC,False
318,2025-06-14,Delhi,Delhi,Organic,35-44,Min KYC,False
319,2025-11-16,Chennai,Tamil Nadu,Referral,25-34,Min KYC,False
320,2025-07-15,Hyderabad,Telangana,Referral,55+,Full KYC,False
321,2024-08-22,Nagpur,Maharashtra,Merchant Partner,35-44,Full KYC,False
322,2024-03-19,Chennai,Tamil Nadu,Paid Ad,25-34,Full KYC,False
323,2025-03-24,Pune,Maharashtra,Merchant Partner,18-24,Full KYC,True
324,2025-10-30,Patna,Bihar,Organic,25-34,Full KYC,False
325,2025-12-12,Bhopal,Madhya Pradesh,Merchant Partner,25-34,Full KYC,False
326,2024-06-17,Lucknow,Uttar Pradesh,Organic,45-54,Full KYC,False
327,2024-06-21,Chennai,Tamil Nadu,Organic,18-24,Full KYC,False
328,2024-01-28,Delhi,Delhi,Referral,35-44,Min KYC,True
329,2024-04-13,Kolkata,West Bengal,Bank Partnership,55+,Full KYC,False
330,2025-02-09,Mumbai,Maharashtra,Organic,18-24,Full KYC,True
331,2025-02-03,Chennai,Tamil Nadu,Organic,18-24,Min KYC,False
332,2024-09-27,Patna,Bihar,Organic,18-24,Min KYC,False
333,2024-08-14,Chennai,Tamil Nadu,Referral,18-24,Full KYC,True
334,2025-08-28,Mumbai,Maharashtra,Organic,25-34,Full KYC,True
335,2024-12-01,Mumbai,Maharashtra,Organic,35-44,Full KYC,False
336,2025-08-13,Patna,Bihar,Referral,25-34,Full KYC,True
337,2025-12-04,Delhi,Delhi,Referral,18-24,Full KYC,False
338,2024-08-19,Chennai,Tamil Nadu,Paid Ad,25-34,Min KYC,False
339,2024-05-27,Bhopal,Madhya Pradesh,Merchant Partner,25-34,Min KYC,False
340,2025-11-26,Bengaluru,Karnataka,Bank Partnership,35-44,Full KYC,False
341,2025-04-08,Lucknow,Uttar Pradesh,Organic,25-34,Full KYC,False
342,2024-07-31,Mumbai,Maharashtra,Organic,18-24,Min KYC,False
343,2025-03-29,Surat,Gujarat,Bank Partnership,18-24,Full KYC,False
344,2025-01-10,Mumbai,Maharashtra,Referral,18-24,Full KYC,False
345,2025-10-23,Bengaluru,Karnataka,Referral,45-54,Full KYC,True
346,2024-07-05,Bengaluru,Karnataka,Referral,18-24,Full KYC,False
347,2025-12-24,Kochi,Kerala,Merchant Partner,25-34,Full KYC,False
348,2025-11-14,Chennai,Tamil Nadu,Merchant Partner,25-34,Full KYC,False
349,2024-05-11,Patna,Bihar,Organic,35-44,Min KYC,True
350,2024-04-30,Kolkata,West Bengal,Organic,35-44,Full KYC,False
351,2025-01-24,Bhopal,Madhya Pradesh,Paid Ad,35-44,Full KYC,False
352,2024-02-02,Chennai,Tamil Nadu,Organic,35-44,Full KYC,False
353,2024-08-06,Pune,Maharashtra,Merchant Partner,35-44,Full KYC,True
354,2024-11-13,Ahmedabad,Gujarat,Organic,55+,Full KYC,False
355,2025-12-08,Bengaluru,Karnataka,Referral,18-24,Full KYC,False
356,2025-12-25,Nagpur,Maharashtra,Merchant Partner,25-34,Min KYC,False
