user_id,signup_date,city,state,acquisition_channel,age_bucket,kyc_status,is_churned,recency_days,frequency,total_amount,avg_amount
121,2024-11-16,Chandigarh,Punjab,"Paid Ad",18-24,"Min KYC",0,8,16,9970.88,623.18
122,2025-05-02,Bhopal,"Madhya Pradesh",Organic,18-24,"Full KYC",0,33,62,34859.86,562.26
123,2025-04-22,Kolkata,"West Bengal",Referral,25-34,"Full KYC",0,15,13,8684.99,668.08
124,2024-12-09,Pune,Maharashtra,Referral,25-34,"Full KYC",0,61,13,11630.28,894.64
125,2025-09-16,Mumbai,Maharashtra,"Paid Ad",18-24,"Full KYC",0,3,45,23082.88,512.95
126,2025-02-16,Hyderabad,Telangana,"Bank Partnership",25-34,"Full KYC",0,0,12,17405.27,1450.44
127,2024-02-27,Chennai,"Tamil Nadu",Referral,55+,"Full KYC",0,10,6,1612.48,268.75
128,2025-07-12,Ranchi,Jharkhand,Organic,25-34,Pending,0,16,19,13470.53,708.98
129,2025-02-23,Coimbatore,"Tamil Nadu","Paid Ad",25-34,"Full KYC",0,1,70,39008.05,557.26
130,2025-04-08,Mumbai,Maharashtra,Organic,55+,"Min KYC",0,45,36,14773.18,410.37
131,2025-02-16,Guwahati,Assam,Organic,18-24,"Full KYC",0,88,25,13948.10,557.92
132,2025-02-08,Surat,Gujarat,Referral,25-34,"Full KYC",0,14,102,57959.64,568.23
133,2024-03-07,Jaipur,Rajasthan,Organic,35-44,"Full KYC",0,48,17,6001.27,353.02
134,2025-02-12,Nagpur,Maharashtra,Referral,35-44,"Min KYC",0,5,65,50520.13,777.23
135,2025-08-03,Bengaluru,Karnataka,Organic,45-54,"Full KYC",1,9,41,18178.99,443.39
136,2024-08-09,Hyderabad,Telangana,"Merchant Partner",35-44,"Full KYC",0,21,24,8726.66,363.61
137,2025-03-16,Kochi,Kerala,Organic,18-24,"Min KYC",1,62,5,1507.45,301.49
138,2024-01-23,Mumbai,Maharashtra,"Paid Ad",18-24,"Min KYC",0,85,32,11563.37,361.36
139,2024-09-10,Lucknow,"Uttar Pradesh","Paid Ad",25-34,"Full KYC",0,52,7,2960.10,422.87
140,2024-11-14,Indore,"Madhya Pradesh","Bank Partnership",18-24,"Min KYC",0,25,31,23390.99,754.55
141,2025-12-18,Kochi,Kerala,Referral,18-24,"Min KYC",0,41,5,1365.73,273.15
142,2024-06-05,Delhi,Delhi,"Merchant Partner",35-44,"Full KYC",0,20,13,7515.50,578.12
143,2024-07-20,Jaipur,Rajasthan,Referral,35-44,"Full KYC",0,78,18,12343.02,685.72
144,2024-10-25,Mumbai,Maharashtra,Organic,18-24,"Min KYC",0,69,42,20145.57,479.66
145,2025-12-25,Patna,Bihar,Referral,25-34,"Min KYC",0,96,13,6190.25,476.17
146,2025-09-14,Pune,Maharashtra,"Paid Ad",55+,"Full KYC",0,30,21,9661.18,460.06
147,2024-01-26,Ahmedabad,Gujarat,Organic,35-44,"Full KYC",1,15,74,37081.47,501.10
148,2024-06-19,Patna,Bihar,Organic,35-44,"Full KYC",0,82,12,4110.39,342.53
149,2025-08-22,Chennai,"Tamil Nadu",Organic,35-44,"Full KYC",0,29,18,7775.66,431.98
150,2024-02-12,Chennai,"Tamil Nadu",Referral,25-34,"Full KYC",0,3,30,10620.78,354.03
151,2025-09-16,Pune,Maharashtra,Organic,35-44,Pending,1,NULL,0,NULL,NULL
152,2024-07-24,Kolkata,"West Bengal","Merchant Partner",18-24,"Min KYC",0,60,28,15406.15,550.22
153,2025-10-31,Lucknow,"Uttar Pradesh","Paid Ad",35-44,Pending,1,2,3,1761.14,587.05
154,2024-08-02,Bhopal,"Madhya Pradesh","Bank Partnership",25-34,"Full KYC",0,2,298,140363.02,471.02
155,2024-11-13,Mumbai,Maharashtra,"Bank Partnership",45-54,"Full KYC",0,160,11,10667.85,969.80
156,2025-04-28,Hyderabad,Telangana,Organic,35-44,"Full KYC",0,25,4,1765.93,441.48
157,2024-04-02,Pune,Maharashtra,Organic,25-34,"Min KYC",0,37,10,6147.32,614.73
158,2025-02-10,Mumbai,Maharashtra,Organic,35-44,"Full KYC",0,4,176,90925.91,516.62
159,2025-01-03,Surat,Gujarat,"Merchant Partner",25-34,"Full KYC",0,28,18,9997.03,555.39
160,2025-07-26,Chennai,"Tamil Nadu",Organic,35-44,"Full KYC",0,3,140,74391.23,531.37
161,2025-12-28,Mumbai,Maharashtra,Referral,18-24,"Full KYC",0,35,7,3468.84,495.55
162,2025-04-29,Ahmedabad,Gujarat,Organic,25-34,"Full KYC",0,23,12,4700.91,391.74
163,2024-10-25,Hyderabad,Telangana,Referral,25-34,"Full KYC",0,0,146,86795.33,594.49
164,2024-10-23,Lucknow,"Uttar Pradesh",Organic,18-24,"Min KYC",0,29,28,14452.63,516.17
165,2024-11-01,Delhi,Delhi,"Paid Ad",25-34,"Full KYC",0,41,6,4328.89,721.48
166,2025-08-17,Mumbai,Maharashtra,Referral,45-54,"Full KYC",0,46,8,3221.25,402.66
167,2024-08-22,Mumbai,Maharashtra,"Bank Partnership",18-24,"Full KYC",1,474,1,679.88,679.88
168,2024-05-01,Pune,Maharashtra,"Bank Partnership",25-34,"Full KYC",0,7,27,18215.81,674.66
169,2024-09-01,Surat,Gujarat,"Merchant Partner",35-44,"Full KYC",0,69,4,2095.57,523.89
170,2024-01-17,Kolkata,"West Bengal",Organic,18-24,"Full KYC",0,1,236,157831.78,668.78
171,2024-03-18,Mumbai,Maharashtra,Organic,18-24,"Full KYC",0,37,30,15746.14,524.87
172,2024-03-06,Kolkata,"West Bengal",Organic,25-34,"Full KYC",0,19,12,4466.48,372.21
173,2025-07-17,Pune,Maharashtra,"Paid Ad",55+,"Full KYC",1,70,1,143.33,143.33
174,2025-06-11,Bhopal,"Madhya Pradesh",Organic,35-44,"Min KYC",0,27,32,11204.38,350.14
175,2025-05-23,Bengaluru,Karnataka,Organic,45-54,"Min KYC",0,60,17,6910.39,406.49
176,2024-12-03,Lucknow,"Uttar Pradesh",Organic,45-54,"Full KYC",0,1,298,155580.40,522.08
177,2025-06-07,Ahmedabad,Gujarat,Organic,25-34,"Full KYC",1,95,6,1558.27,259.71
178,2024-04-27,Ahmedabad,Gujarat,Referral,18-24,"Min KYC",0,1,120,56903.46,474.20
179,2025-10-19,Hyderabad,Telangana,Referral,18-24,"Full KYC",0,81,33,12138.75,367.84
180,2024-12-31,Mumbai,Maharashtra,Organic,35-44,"Min KYC",0,4,69,37726.08,546.75
181,2025-11-15,Delhi,Delhi,"Bank Partnership",35-44,"Full KYC",0,46,15,4957.99,330.53
182,2024-04-21,Patna,Bihar,"Paid Ad",25-34,"Min KYC",0,27,19,12161.15,640.06
183,2024-12-29,Ahmedabad,Gujarat,Organic,35-44,"Min KYC",1,184,3,487.01,162.34
184,2025-05-23,Kolkata,"West Bengal","Merchant Partner",25-34,"Full KYC",1,52,35,16689.13,476.83
185,2024-12-27,Chennai,"Tamil Nadu",Referral,25-34,"Full KYC",1,10,5,4199.51,839.90
186,2024-11-21,Mumbai,Maharashtra,Referral,25-34,"Full KYC",0,14,38,18192.16,478.74
187,2024-05-01,Hyderabad,Telangana,"Merchant Partner",35-44,"Full KYC",0,2,19,7214.35,379.70
188,2024-10-05,Ahmedabad,Gujarat,Referral,35-44,"Full KYC",0,1,30,13091.45,436.38
189,2024-06-23,Delhi,Delhi,"Merchant Partner",45-54,"Min KYC",1,48,2,515.76,257.88
190,2024-08-08,Chandigarh,Punjab,Organic,25-34,"Full KYC",0,5,15,6214.35,414.29
191,2025-05-14,Mumbai,Maharashtra,Organic,25-34,"Full KYC",0,51,13,4049.03,311.46
192,2025-04-05,Jaipur,Rajasthan,Referral,25-34,"Full KYC",0,82,2,695.71,347.86
193,2025-03-19,Bengaluru,Karnataka,"Merchant Partner",25-34,"Full KYC",0,9,9,3757.07,417.45
194,2024-09-21,Patna,Bihar,"Paid Ad",18-24,"Full KYC",0,42,18,8022.76,445.71
195,2025-12-01,Indore,"Madhya Pradesh","Bank Partnership",45-54,"Full KYC",0,12,60,34089.58,568.16
196,2024-03-04,Bengaluru,Karnataka,Organic,25-34,"Min KYC",0,221,2,747.84,373.92
197,2024-09-07,Pune,Maharashtra,"Bank Partnership",25-34,"Full KYC",0,3,42,19013.73,452.71
198,2024-03-27,Coimbatore,"Tamil Nadu",Organic,25-34,"Full KYC",0,1,139,69636.30,500.98
199,2024-09-04,Kolkata,"West Bengal",Organic,25-34,"Full KYC",0,6,26,11498.99,442.27
200,2025-12-03,Mumbai,Maharashtra,Referral,35-44,"Full KYC",0,10,9,3149.08,349.90
201,2024-09-24,Bhopal,"Madhya Pradesh",Organic,45-54,"Full KYC",0,12,44,23114.51,525.33
202,2025-10-25,Hyderabad,Telangana,Organic,25-34,"Min KYC",0,13,5,3475.42,695.08
203,2024-12-27,Bengaluru,Karnataka,"Paid Ad",35-44,"Min KYC",0,4,114,51619.69,452.80
204,2025-05-25,Indore,"Madhya Pradesh",Referral,25-34,"Full KYC",0,38,7,2995.12,427.87
205,2024-11-29,Guwahati,Assam,"Bank Partnership",25-34,Pending,0,15,28,14742.05,526.50
206,2024-07-13,Mumbai,Maharashtra,"Bank Partnership",45-54,"Full KYC",0,15,76,41267.58,542.99
207,2025-07-11,Hyderabad,Telangana,"Bank Partnership",18-24,"Full KYC",0,2,99,58588.64,591.80
208,2025-12-08,Bengaluru,Karnataka,Referral,25-34,"Min KYC",1,26,27,16350.91,605.59
209,2024-07-11,Kochi,Kerala,Organic,45-54,"Full KYC",0,266,6,3083.56,513.93
210,2025-07-22,Patna,Bihar,"Bank Partnership",35-44,"Full KYC",0,4,140,65632.37,468.80
211,2024-07-09,Nagpur,Maharashtra,Referral,18-24,"Full KYC",0,133,8,1381.10,172.64
212,2025-06-07,Mumbai,Maharashtra,Referral,18-24,"Full KYC",0,81,13,8228.12,632.93
213,2025-07-29,Mumbai,Maharashtra,"Paid Ad",45-54,"Min KYC",0,4,57,31002.48,543.90
214,2024-11-24,Chennai,"Tamil Nadu","Paid Ad",25-34,"Full KYC",0,11,47,28803.78,612.85
215,2025-06-21,Delhi,Delhi,Organic,25-34,"Full KYC",1,252,5,1879.91,375.98
216,2024-07-17,Mumbai,Maharashtra,Organic,18-24,"Full KYC",0,9,25,13360.69,534.43
217,2024-02-27,Bengaluru,Karnataka,Organic,25-34,Pending,0,1,21,10047.59,478.46
218,2024-03-11,Lucknow,"Uttar Pradesh",Organic,25-34,"Full KYC",0,37,43,18984.20,441.49
219,2024-11-22,Jaipur,Rajasthan,Organic,35-44,"Full KYC",0,59,11,4553.07,413.92
220,2025-10-20,Bhopal,"Madhya Pradesh","Bank Partnership",18-24,"Full KYC",0,9,28,27444.95,980.18
221,2024-04-03,Mumbai,Maharashtra,"Merchant Partner",35-44,"Full KYC",0,13,193,94812.73,491.26
222,2024-11-28,Surat,Gujarat,Organic,55+,"Min KYC",1,66,4,2359.23,589.81
223,2025-05-28,Chennai,"Tamil Nadu",Organic,25-34,"Full KYC",1,52,2,319.21,159.61
224,2024-05-27,Bengaluru,Karnataka,"Bank Partnership",35-44,"Min KYC",0,6,8,2654.34,331.79
225,2025-06-10,Ahmedabad,Gujarat,"Paid Ad",18-24,"Full KYC",1,81,4,1502.06,375.52
226,2024-08-11,Bhopal,"Madhya Pradesh",Referral,25-34,"Full KYC",1,499,2,927.25,463.63
227,2025-08-13,Mumbai,Maharashtra,"Bank Partnership",25-34,"Full KYC",0,30,35,15264.01,436.11
228,2025-02-26,Bhopal,"Madhya Pradesh","Bank Partnership",35-44,"Min KYC",0,24,6,2171.99,362.00
229,2025-02-03,Kolkata,"West Bengal",Organic,55+,"Min KYC",0,36,28,13012.85,464.74
230,2024-05-09,Ahmedabad,Gujarat,"Paid Ad",35-44,"Full KYC",0,33,18,8971.28,498.40
231,2024-12-04,Kochi,Kerala,"Paid Ad",18-24,"Full KYC",0,12,18,9448.91,524.94
232,2025-09-17,Lucknow,"Uttar Pradesh","Merchant Partner",35-44,"Full KYC",1,NULL,0,NULL,NULL
233,2024-01-15,Kolkata,"West Bengal",Referral,18-24,"Full KYC",0,82,16,12538.46,783.65
234,2025-07-07,Bengaluru,Karnataka,"Paid Ad",35-44,"Min KYC",0,18,19,6901.71,363.25
235,2024-12-25,Chennai,"Tamil Nadu",Referral,18-24,"Min KYC",0,0,187,97523.61,521.52
236,2025-06-09,Indore,"Madhya Pradesh",Referral,45-54,"Full KYC",0,15,13,8632.55,664.04
237,2025-04-29,Ranchi,Jharkhand,Referral,45-54,"Full KYC",0,16,44,23161.76,526.40
238,2024-11-11,Surat,Gujarat,Organic,35-44,"Full KYC",0,40,19,8164.96,429.73
239,2024-08-13,Bhopal,"Madhya Pradesh","Merchant Partner",25-34,"Full KYC",0,2,184,117953.97,641.05
240,2025-04-02,Jaipur,Rajasthan,Referral,18-24,"Full KYC",0,7,29,10981.42,378.67
241,2024-04-12,Surat,Gujarat,"Merchant Partner",25-34,"Full KYC",0,6,42,20565.64,489.66
242,2025-03-02,Bengaluru,Karnataka,"Merchant Partner",25-34,"Full KYC",1,5,13,6365.38,489.64
243,2024-03-10,Pune,Maharashtra,Referral,25-34,"Full KYC",0,21,19,7957.73,418.83
244,2025-04-19,Kolkata,"West Bengal","Paid Ad",18-24,"Full KYC",0,8,12,7074.06,589.51
245,2025-04-03,Chennai,"Tamil Nadu","Merchant Partner",35-44,"Full KYC",0,5,87,34065.07,391.55
246,2024-03-02,Kolkata,"West Bengal",Organic,25-34,"Full KYC",1,NULL,0,NULL,NULL
247,2025-07-06,Guwahati,Assam,"Paid Ad",25-34,"Full KYC",0,32,50,24611.02,492.22
248,2024-10-30,Patna,Bihar,"Bank Partnership",35-44,"Full KYC",0,36,25,16274.08,650.96
249,2025-07-28,Indore,"Madhya Pradesh",Organic,18-24,Pending,0,0,39,14126.71,362.22
250,2024-01-31,Indore,"Madhya Pradesh",Referral,35-44,"Full KYC",0,3,30,13319.82,443.99
251,2024-05-11,Bhopal,"Madhya Pradesh",Organic,25-34,"Full KYC",0,175,4,1735.68,433.92
252,2024-12-26,Jaipur,Rajasthan,Referral,25-34,"Full KYC",1,NULL,0,NULL,NULL
253,2024-05-17,Bengaluru,Karnataka,"Merchant Partner",35-44,"Min KYC",0,22,54,27909.83,516.85
254,2024-08-28,Patna,Bihar,Organic,25-34,"Full KYC",1,18,25,12289.03,491.56
255,2025-04-27,Bengaluru,Karnataka,Organic,18-24,Pending,0,6,73,35651.78,488.38
256,2024-04-15,Lucknow,"Uttar Pradesh",Organic,25-34,"Full KYC",0,21,20,6188.06,309.40
257,2025-05-09,Mumbai,Maharashtra,"Merchant Partner",18-24,"Full KYC",0,3,208,106434.25,511.70
258,2024-03-16,Chennai,"Tamil Nadu",Organic,18-24,"Full KYC",0,54,11,6790.92,617.36
259,2024-05-07,Bengaluru,Karnataka,"Paid Ad",35-44,"Full KYC",0,0,20,11593.51,579.68
