txn_date,total_amount,txn_count
2024-05-31,579264.60,1039
2024-06-01,786860.33,1427
2024-06-02,770922.10,1387
2024-06-03,575688.05,1087
2024-06-04,532527.64,1061
2024-06-05,579897.77,1061
2024-06-06,591514.81,1115
2024-06-07,626187.40,1133
2024-06-08,708133.17,1361
2024-06-09,684334.54,1315
2024-06-10,561773.11,1100
2024-06-11,654394.46,1109
2024-06-12,565698.42,1069
2024-06-13,565945.92,1066
2024-06-14,583990.93,1141
2024-06-15,754982.99,1376
2024-06-16,719923.70,1340
2024-06-17,634217.55,1092
2024-06-18,566670.03,1063
2024-06-19,655311.98,1112
2024-06-20,631282.26,1117
2024-06-21,572982.24,1137
2024-06-22,751841.06,1384
2024-06-23,770877.91,1386
2024-06-24,620006.58,1147
2024-06-25,627850.32,1130
2024-06-26,582127.29,1088
2024-06-27,572857.38,1086
2024-06-28,587609.29,1091
2024-06-29,812968.73,1461
2024-06-30,702082.99,1389
2024-07-01,624652.51,1202
2024-07-02,527164.72,1043
2024-07-03,560721.33,1075
2024-07-04,618929.21,1142
2024-07-05,563496.48,1110
2024-07-06,699370.40,1399
2024-07-07,758116.21,1361
2024-07-08,578761.19,1103
2024-07-09,606276.35,1100
2024-07-10,606120.72,1096
2024-07-11,578060.06,1115
2024-07-12,584111.61,1141
2024-07-13,775674.57,1399
2024-07-14,704322.14,1363
2024-07-15,585393.13,1098
2024-07-16,577058.48,1084
2024-07-17,620974.71,1159
2024-07-18,583706.74,1103
2024-07-19,575638.23,1088
2024-07-20,754443.96,1417
2024-07-21,738584.74,1353
2024-07-22,594209.75,1099
2024-07-23,610043.91,1116
2024-07-24,621648.10,1124
2024-07-25,562052.47,1049
2024-07-26,573685.16,1125
2024-07-27,797456.41,1416
2024-07-28,755426.82,1430
2024-07-29,548329.11,1104
2024-07-30,596712.82,1058
2024-07-31,576280.98,1090
2024-08-01,585025.99,1131
2024-08-02,589546.10,1058
2024-08-03,742631.26,1350
2024-08-04,734964.79,1400
2024-08-05,551978.14,1100
2024-08-06,595497.91,1112
2024-08-07,531490.36,1056
2024-08-08,639866.28,1129
2024-08-09,605156.41,1142
2024-08-10,679172.43,1320
2024-08-11,703484.50,1371
2024-08-12,555991.12,1072
2024-08-13,592945.99,1104
2024-08-14,556962.58,1074
2024-08-15,585142.53,1063
2024-08-16,632974.68,1075
2024-08-17,721901.90,1318
2024-08-18,685733.43,1316
2024-08-19,579765.53,1114
2024-08-20,564810.13,1106
2024-08-21,604394.48,1059
2024-08-22,582344.95,1101
2024-08-23,586401.69,1115
2024-08-24,680475.83,1398
2024-08-25,738166.84,1344
2024-08-26,612871.74,1096
2024-08-27,554299.81,1042
2024-08-28,593493.70,1096
2024-08-29,557272.51,1084
2024-08-30,577345.12,1095
2024-08-31,776716.19,1370
2024-09-01,671557.01,1360
2024-09-02,569355.48,1120
2024-09-03,580040.44,1072
2024-09-04,602214.39,1133
2024-09-05,594331.65,1086
2024-09-06,568745.30,1057
2024-09-07,706201.76,1374
2024-09-08,749705.59,1392
2024-09-09,588770.30,1074
2024-09-10,616354.75,1131
2024-09-11,514387.76,1014
2024-09-12,589200.95,1121
2024-09-13,584385.85,1116
2024-09-14,709601.10,1368
2024-09-15,682283.66,1314
2024-09-16,546601.94,1053
2024-09-17,599401.24,1087
2024-09-18,574358.74,1099
2024-09-19,596684.40,1137
2024-09-20,558052.15,1068
2024-09-21,686574.75,1329
2024-09-22,753692.14,1336
2024-09-23,562023.58,1118
2024-09-24,586518.90,1125
2024-09-25,575905.17,1110
2024-09-26,549980.38,1117
2024-09-27,604034.73,1135
2024-09-28,688309.63,1319
2024-09-29,755344.38,1362
2024-09-30,524364.35,1057
2024-10-01,877676.28,1572
2024-10-02,816240.03,1596
2024-10-03,834080.93,1563
2024-10-04,774860.72,1559
2024-10-05,1025417.06,1946
2024-10-06,1038596.52,1957
2024-10-07,805825.88,1601
2024-10-08,829036.20,1593
2024-10-09,853040.31,1629
2024-10-10,853420.02,1652
2024-10-11,785484.33,1577
2024-10-12,1050155.08,1929
2024-10-13,970818.62,1951
2024-10-14,839071.13,1580
2024-10-15,842042.32,1530
2024-10-16,845224.42,1588
2024-10-17,841847.13,1573
2024-10-18,901488.26,1664
2024-10-19,1000339.61,1997
2024-10-20,1054579.23,1971
2024-10-21,881489.38,1655
2024-10-22,894757.63,1550
2024-10-23,861874.07,1613
2024-10-24,831212.30,1559
2024-10-25,881459.60,1617
2024-10-26,1001586.05,1926
2024-10-27,1041958.18,1963
2024-10-28,855659.53,1583
2024-10-29,816029.35,1559
2024-10-30,867767.40,1654
2024-10-31,918971.25,1668
2024-11-01,828914.17,1551
2024-11-02,1076625.44,2003
2024-11-03,998879.96,1944
2024-11-04,732949.57,1462
2024-11-05,832760.71,1681
2024-11-06,784163.71,1530
2024-11-07,918043.64,1687
2024-11-08,825104.01,1543
2024-11-09,1115749.19,2070
2024-11-10,1062806.02,2062
2024-11-11,837537.20,1586
2024-11-12,822714.16,1603
2024-11-13,850228.13,1653
2024-11-14,847758.14,1592
2024-11-15,871502.52,1548
2024-11-16,1046574.65,1987
2024-11-17,1090942.58,1999
2024-11-18,840645.76,1589
2024-11-19,909032.79,1624
2024-11-20,853521.07,1581
2024-11-21,866826.74,1603
2024-11-22,890682.31,1697
2024-11-23,1115078.10,2005
2024-11-24,1018614.51,1944
2024-11-25,777293.19,1514
2024-11-26,843139.82,1632
2024-11-27,796022.88,1554
2024-11-28,849005.10,1597
2024-11-29,836757.54,1573
2024-11-30,1176313.23,2012
2024-12-01,865378.67,1685
2024-12-02,680592.92,1350
2024-12-03,720493.36,1365
2024-12-04,703698.93,1339
2024-12-05,712396.29,1298
2024-12-06,761847.53,1377
2024-12-07,828549.83,1569
2024-12-08,906949.70,1640
2024-12-09,690843.76,1314
2024-12-10,665785.35,1352
2024-12-11,666404.56,1265
2024-12-12,656066.41,1273
2024-12-13,719222.82,1364
2024-12-14,809094.70,1568
2024-12-15,872083.71,1669
2024-12-16,739423.52,1280
2024-12-17,686279.10,1291
2024-12-18,677313.59,1304
2024-12-19,785485.50,1388
2024-12-20,717979.22,1271
2024-12-21,905219.04,1687
2024-12-22,869415.80,1625
2024-12-23,678353.37,1318
2024-12-24,647970.62,1221
2024-12-25,729286.49,1328
2024-12-26,712112.20,1339
2024-12-27,698549.95,1309
2024-12-28,994398.63,1745
2024-12-29,906078.65,1690
2024-12-30,659273.50,1267
2024-12-31,722462.73,1344
2025-01-01,559383.91,1105
2025-01-02,630582.09,1183
2025-01-03,618812.36,1119
2025-01-04,788025.72,1363
2025-01-05,717066.18,1400
2025-01-06,555037.83,1107
2025-01-07,587677.43,1114
2025-01-08,606611.46,1107
2025-01-09,580871.92,1109
2025-01-10,568832.15,1079
2025-01-11,674591.99,1330
2025-01-12,761182.67,1337
2025-01-13,625725.51,1119
2025-01-14,612735.40,1151
2025-01-15,548192.88,1035
2025-01-16,586395.27,1097
2025-01-17,560705.39,1095
2025-01-18,743590.12,1370
2025-01-19,696331.67,1336
2025-01-20,552394.77,1079
2025-01-21,609940.87,1073
2025-01-22,592983.66,1117
2025-01-23,550098.92,1100
2025-01-24,611786.80,1124
2025-01-25,736514.43,1324
2025-01-26,711757.55,1340
2025-01-27,582915.59,1067
2025-01-28,563237.23,1084
2025-01-29,586508.36,1128
2025-01-30,547741.24,1123
2025-01-31,599157.69,1072
2025-02-01,709996.70,1442
2025-02-02,759120.51,1389
2025-02-03,585909.76,1112
2025-02-04,606412.35,1110
2025-02-05,553196.42,1082
2025-02-06,653451.39,1148
2025-02-07,541095.80,1122
2025-02-08,742905.32,1404
2025-02-09,681515.73,1387
2025-02-10,555396.39,1079
2025-02-11,522302.80,1024
2025-02-12,543658.75,1096
2025-02-13,538095.03,1082
2025-02-14,599424.63,1154
2025-02-15,725668.73,1373
2025-02-16,788458.02,1415
2025-02-17,599135.81,1044
2025-02-18,643497.81,1111
2025-02-19,582657.89,1125
2025-02-20,574676.15,1105
2025-02-21,592145.79,1097
2025-02-22,693203.27,1337
2025-02-23,817542.46,1392
2025-02-24,555438.46,1085
2025-02-25,558704.86,1031
2025-02-26,579863.41,1095
2025-02-27,598184.48,1074
2025-02-28,505458.79,1008
2025-03-01,704581.37,1350
2025-03-02,709257.64,1359
2025-03-03,579250.83,1065
2025-03-04,535076.13,1083
2025-03-05,526712.66,1040
2025-03-06,604806.99,1104
2025-03-07,575153.91,1092
2025-03-08,670562.37,1353
2025-03-09,769475.11,1416
2025-03-10,582321.86,1107
2025-03-11,586395.03,1081
2025-03-12,587613.60,1074
2025-03-13,553067.48,1101
2025-03-14,576863.41,1096
2025-03-15,725658.63,1374
2025-03-16,759019.26,1356
2025-03-17,555121.85,1106
2025-03-18,580394.65,1107
2025-03-19,547542.84,1082
2025-03-20,617104.55,1103
2025-03-21,625925.70,1176
2025-03-22,809060.16,1395
2025-03-23,764584.81,1390
2025-03-24,593225.25,1084
2025-03-25,623942.87,1101
2025-03-26,622059.11,1136
2025-03-27,605373.60,1141
2025-03-28,592726.98,1144
2025-03-29,738617.41,1436
2025-03-30,733863.40,1344
2025-03-31,528777.01,1063
2025-04-01,593603.01,1112
2025-04-02,578703.33,1103
2025-04-03,614526.36,1144
2025-04-04,599911.64,1061
2025-04-05,696564.02,1293
2025-04-06,744824.79,1371
2025-04-07,560151.53,1120
2025-04-08,567625.80,1130
2025-04-09,570341.97,1097
2025-04-10,582570.72,1086
2025-04-11,601201.47,1056
2025-04-12,694249.59,1373
2025-04-13,753322.29,1387
2025-04-14,556622.98,1089
2025-04-15,568815.48,1087
2025-04-16,622656.99,1126
2025-04-17,629682.86,1093
2025-04-18,589959.47,1094
2025-04-19,706491.83,1383
2025-04-20,742778.23,1339
2025-04-21,587627.18,1107
2025-04-22,649186.95,1121
2025-04-23,561634.95,1099
2025-04-24,601279.27,1125
2025-04-25,563367.13,1069
2025-04-26,717876.44,1363
2025-04-27,739158.16,1377
2025-04-28,641554.58,1075
2025-04-29,625024.52,1166
2025-04-30,616655.56,1062
2025-05-01,553376.24,1076
2025-05-02,595351.50,1103
2025-05-03,678239.55,1332
2025-05-04,769254.76,1391
2025-05-05,665034.56,1135
2025-05-06,581824.79,1078
2025-05-07,543540.59,1094
2025-05-08,600779.92,1100
2025-05-09,569929.58,1088
2025-05-10,711003.63,1338
2025-05-11,698492.70,1319
2025-05-12,546932.17,1096
2025-05-13,576365.40,1085
2025-05-14,574819.81,1117
2025-05-15,553893.28,1073
2025-05-16,549881.17,1091
2025-05-17,764274.91,1389
2025-05-18,782599.55,1400
2025-05-19,541099.21,1049
2025-05-20,545781.55,1048
2025-05-21,595536.72,1090
2025-05-22,601580.94,1095
2025-05-23,627076.98,1132
2025-05-24,735801.40,1439
2025-05-25,789696.49,1473
2025-05-26,607081.78,1058
2025-05-27,600032.80,1114
2025-05-28,587026.09,1095
2025-05-29,615994.48,1107
2025-05-30,588832.46,1124
2025-05-31,760286.24,1450
2025-06-01,733056.48,1435
2025-06-02,598960.48,1083
2025-06-03,537998.95,1054
2025-06-04,555948.14,1057
2025-06-05,581366.00,1082
2025-06-06,628886.60,1120
2025-06-07,736857.21,1373
2025-06-08,723271.26,1354
2025-06-09,576034.05,1094
2025-06-10,598232.98,1135
2025-06-11,535399.85,1092
2025-06-12,588331.90,1073
2025-06-13,587457.46,1123
2025-06-14,749782.85,1480
2025-06-15,718881.90,1331
2025-06-16,568464.00,1090
2025-06-17,618564.81,1102
2025-06-18,561199.64,1098
2025-06-19,600831.65,1046
2025-06-20,599249.79,1117
2025-06-21,733694.60,1360
2025-06-22,842981.21,1446
2025-06-23,599558.59,1097
2025-06-24,659470.02,1158
2025-06-25,544418.70,1087
2025-06-26,571375.28,1091
2025-06-27,576019.64,1080
2025-06-28,769390.49,1339
2025-06-29,691607.28,1375
2025-06-30,597495.40,1134
2025-07-01,617363.89,1110
2025-07-02,603244.47,1125
2025-07-03,600361.14,1125
2025-07-04,577271.83,1058
2025-07-05,754367.01,1421
2025-07-06,745113.37,1406
2025-07-07,587328.73,1112
2025-07-08,568869.91,1081
2025-07-09,552228.41,1065
2025-07-10,603997.16,1126
2025-07-11,551423.09,1119
2025-07-12,701719.18,1420
2025-07-13,720960.13,1387
2025-07-14,608929.51,1117
2025-07-15,571571.56,1056
2025-07-16,573005.93,1109
2025-07-17,596755.43,1101
2025-07-18,547307.77,1031
2025-07-19,682754.43,1382
2025-07-20,749360.74,1384
2025-07-21,625522.28,1134
2025-07-22,605606.93,1063
2025-07-23,596722.47,1120
2025-07-24,567362.94,1099
2025-07-25,583362.52,1108
2025-07-26,740581.04,1392
2025-07-27,774533.34,1393
2025-07-28,586619.01,1111
2025-07-29,617963.89,1145
2025-07-30,562059.41,1095
2025-07-31,667257.50,1160
2025-08-01,576648.64,1077
2025-08-02,748625.27,1371
2025-08-03,741978.80,1351
2025-08-04,602013.18,1142
2025-08-05,552162.78,1101
2025-08-06,572810.42,1040
2025-08-07,525329.62,1049
2025-08-08,605035.21,1102
2025-08-09,739638.75,1319
2025-08-10,750549.37,1317
2025-08-11,664335.21,1154
2025-08-12,580665.98,1131
2025-08-13,607539.05,1101
2025-08-14,554821.24,1121
2025-08-15,591558.24,1073
2025-08-16,804659.51,1383
2025-08-17,723222.00,1346
2025-08-18,698306.79,1210
2025-08-19,590884.58,1139
2025-08-20,559618.97,1055
2025-08-21,594948.88,1162
2025-08-22,538459.28,1106
2025-08-23,738350.15,1358
2025-08-24,752523.16,1373
2025-08-25,646773.87,1172
2025-08-26,623374.51,1141
2025-08-27,591007.27,1128
2025-08-28,635123.33,1166
2025-08-29,555520.96,1074
2025-08-30,727029.02,1351
2025-08-31,681215.63,1326
2025-09-01,605838.86,1089
2025-09-02,588071.60,1072
2025-09-03,568855.86,1126
2025-09-04,586979.12,1105
2025-09-05,643354.01,1072
2025-09-06,737197.55,1437
2025-09-07,708217.87,1371
2025-09-08,576390.01,1124
2025-09-09,628969.79,1092
2025-09-10,578594.15,1101
2025-09-11,507453.73,1029
2025-09-12,595206.06,1133
2025-09-13,724099.18,1465
2025-09-14,742346.71,1422
2025-09-15,582673.36,1142
2025-09-16,590856.02,1095
2025-09-17,600836.72,1116
2025-09-18,579086.28,1096
2025-09-19,597879.99,1127
2025-09-20,757866.92,1324
2025-09-21,756087.99,1390
2025-09-22,641746.59,1135
2025-09-23,600856.64,1109
2025-09-24,585554.15,1166
2025-09-25,615746.63,1171
2025-09-26,574144.20,1048
2025-09-27,739355.84,1375
2025-09-28,679694.51,1335
2025-09-29,567015.51,1069
2025-09-30,600881.20,1113
2025-10-01,836274.12,1617
2025-10-02,828568.64,1551
2025-10-03,810619.30,1541
2025-10-04,1079724.16,2034
2025-10-05,1071484.96,1935
2025-10-06,826532.78,1577
2025-10-07,865408.82,1577
2025-10-08,895752.42,1595
2025-10-09,827526.94,1580
2025-10-10,833767.15,1606
2025-10-11,1082705.40,1994
2025-10-12,1069946.19,2006
2025-10-13,933458.68,1648
2025-10-14,860410.05,1599
2025-10-15,952506.06,1580
2025-10-16,836018.29,1571
2025-10-17,812056.89,1538
2025-10-18,1022620.61,1921
2025-10-19,1031977.23,1899
2025-10-20,806611.09,1550
2025-10-21,849520.70,1624
2025-10-22,851247.85,1586
2025-10-23,852950.39,1618
2025-10-24,838845.22,1580
2025-10-25,999875.25,1940
2025-10-26,1027297.82,1942
2025-10-27,832337.26,1574
2025-10-28,780933.17,1567
2025-10-29,829008.20,1576
2025-10-30,864442.25,1621
2025-10-31,851860.99,1583
2025-11-01,954398.28,1862
2025-11-02,1030381.34,1978
2025-11-03,828996.41,1565
2025-11-04,819245.39,1627
2025-11-05,882411.20,1629
2025-11-06,819299.51,1594
2025-11-07,817182.38,1592
2025-11-08,1019609.43,1957
2025-11-09,1019948.00,1949
2025-11-10,838304.29,1609
2025-11-11,798499.07,1540
2025-11-12,869491.15,1567
2025-11-13,837759.71,1598
2025-11-14,841473.00,1589
2025-11-15,1068223.25,2007
2025-11-16,1017424.53,1951
2025-11-17,795638.27,1564
2025-11-18,979842.71,1660
2025-11-19,915870.98,1599
2025-11-20,761631.63,1546
2025-11-21,823785.25,1583
2025-11-22,1054731.32,2032
2025-11-23,965190.28,1915
2025-11-24,926231.72,1637
2025-11-25,820050.39,1566
2025-11-26,897997.95,1623
2025-11-27,831933.20,1559
2025-11-28,853631.98,1607
2025-11-29,1130188.19,2055
2025-11-30,1111807.56,2065
2025-12-01,701972.50,1345
2025-12-02,663889.88,1289
2025-12-03,685407.18,1305
2025-12-04,694113.25,1308
2025-12-05,685505.99,1277
2025-12-06,812004.45,1586
2025-12-07,879334.48,1617
2025-12-08,698148.10,1323
2025-12-09,675196.57,1324
2025-12-10,693872.92,1335
2025-12-11,717904.67,1337
2025-12-12,729942.82,1276
2025-12-13,909244.57,1726
2025-12-14,944834.10,1648
2025-12-15,711135.83,1327
2025-12-16,705428.62,1353
2025-12-17,704831.72,1253
2025-12-18,715047.84,1350
2025-12-19,693382.66,1308
2025-12-20,928181.25,1733
2025-12-21,872748.05,1622
2025-12-22,756047.08,1334
2025-12-23,718917.94,1328
2025-12-24,711306.92,1372
2025-12-25,693585.71,1279
2025-12-26,707704.01,1267
2025-12-27,959036.67,1746
2025-12-28,857384.98,1615
2025-12-29,701233.64,1322
2025-12-30,732517.09,1344
2025-12-31,689272.24,1327
